,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label
1689,신성델타테크(주),65350,2012-12-01,2004-08-06,,5,  전기장비 제조업,-8.87,-8.11,-4.16,-7.61,-9.88,0.8,-8.46,0.0,10.62,0.93,4.66,4.09,1.13,16156.96,231.0,87.47,73.66,8.29,-5.28,169.32,2.2,170.09,36.85,37.13,954.41,1.21,3.41,1.92,21.23,5.83,7.34,49.74,17.2,62.65,0.03,0.05,1.52,2.18,3.25,3.83,56587.95,22.09,40.09,155.79,17.51,62.03,37.97,5.34,0
1690,신성델타테크(주),65350,2013-12-01,2004-08-06,,5,  전기장비 제조업,-2.35,0.2,-15.05,7.64,13.46,5.55,9.78,46.06,10.18,2.11,6.61,3.49,2.48,15777.04,339.0,100.9,88.97,13.49,0.34,180.13,2.0,173.46,38.08,35.7,1006.06,1.17,3.23,1.88,22.9,6.27,8.21,44.45,15.94,58.17,0.03,0.05,1.52,2.22,3.13,3.63,55736.6,19.82,42.27,162.61,17.66,63.66,36.34,11.97,0
1691,신성델타테크(주),65350,2014-12-01,2004-08-06,,5,  전기장비 제조업,-6.06,4.04,7.35,4.87,-4.81,-1.63,1.19,-70.14,8.94,0.72,1.92,2.04,0.76,14821.5,101.0,75.9,65.78,10.81,-11.38,188.15,1.19,184.93,35.82,34.7,1012.92,1.05,2.98,1.66,22.59,5.86,7.65,47.73,16.16,62.33,0.03,0.05,1.32,2.04,2.84,3.24,47434.97,16.67,32.21,125.94,16.0,67.48,32.52,4.52,0
1692,신원종합개발(주),17000,2012-12-01,1994-12-07,,5,  종합 건설업,-31.46,-5.8,103.47,-4.76,6.41,2.64,3.4,0.0,13.33,-8.81,-3.8,1.29,-3.49,6949.11,-627.0,959.79,550.05,170.07,54.32,8.31,1.35,42.63,60.64,92.33,3163.56,0.4,0.43,1.07,1.52,2.17,17.16,21.27,240.61,168.54,0.0,0.0,0.57,1.33,0.63,1.08,4058.24,0.89,2.95,21.09,2.2,528.62,-428.62,-399.83,0
1693,신원종합개발(주),17000,2013-12-01,1994-12-07,,5,  종합 건설업,6.19,-17.66,4.86,25.9,23.15,11.3,23.83,272.23,14.4,6.43,2.42,1.49,2.24,5986.73,395.0,1335.71,728.25,267.71,56.01,7.75,1.89,42.51,60.55,92.8,3201.31,0.35,0.38,0.88,1.3,2.22,19.23,18.98,279.98,164.39,0.0,0.0,0.53,1.17,0.57,1.03,38248.29,8.37,28.51,222.07,24.11,56.98,43.02,26.68,0
1694,신원종합개발(주),17000,2014-12-01,1994-12-07,,5,  종합 건설업,38.98,-11.46,-47.25,-7.71,-8.15,-1.88,-8.04,0.0,11.68,3.99,1.77,1.04,1.63,7160.54,293.0,942.45,374.12,38.34,52.05,10.44,1.0,46.13,58.23,90.55,3233.1,0.41,0.45,1.0,1.3,2.69,21.8,16.74,280.83,135.65,0.0,0.0,0.63,1.38,0.69,1.46,37263.18,7.88,28.22,241.63,19.64,62.04,37.96,20.3,0
1695,신일제약(주),12790,2012-12-01,1999-08-13,,5,  의료용 물질 및 의약품 제조업,18.33,25.31,-4.55,11.84,-3.32,6.08,3.14,42.73,8.91,1.72,2.0,1.28,1.46,16813.29,313.0,164.66,138.26,65.85,13.2,45.81,23.73,96.79,33.62,68.58,2926.49,0.85,1.16,1.45,12.61,6.79,7.91,46.17,28.96,53.72,0.03,0.09,1.39,1.61,2.05,2.44,23502.33,12.81,21.37,63.87,16.25,56.28,43.72,10.59,0
1696,신일제약(주),12790,2013-12-01,1999-08-13,,5,  의료용 물질 및 의약품 제조업,11.02,-3.79,-6.51,19.17,7.29,12.91,12.78,64.91,20.87,8.09,9.07,10.23,6.52,17182.8,1501.0,242.13,213.66,132.26,21.86,32.77,59.68,83.32,37.24,75.32,3204.47,0.81,1.12,1.25,16.51,7.92,9.98,36.57,22.11,46.07,0.03,0.07,1.51,1.34,2.28,2.64,37274.15,20.38,34.56,108.11,25.22,37.6,62.4,32.07,0
1697,신일제약(주),12790,2014-12-01,1999-08-13,,5,  의료용 물질 및 의약품 제조업,8.69,-1.3,16.06,0.62,25.13,13.96,13.17,38.99,16.79,4.64,5.19,7.83,4.04,18287.75,917.0,330.18,293.39,188.53,28.53,24.61,75.71,73.61,40.93,80.25,3339.11,0.87,1.12,1.43,19.45,8.98,11.32,32.23,18.77,40.66,0.04,0.06,1.64,1.52,2.23,2.51,29680.67,16.59,31.89,97.12,18.87,47.74,52.26,24.6,0
1698,신화인터텍(주),56700,2012-12-01,2001-12-13,,5,  고무 및 플라스틱제품 제조업,-11.3,-10.49,-38.76,-3.1,-30.21,-6.58,-17.94,0.0,13.53,-4.25,-16.6,5.05,-4.2,12582.15,-628.0,84.62,59.05,22.14,-8.46,259.54,1.0,192.21,46.54,27.81,637.17,0.99,3.81,2.02,5.93,6.6,8.89,41.06,61.53,55.3,0.01,0.27,0.98,2.27,1.94,2.88,41662.01,16.13,36.3,95.17,14.68,63.47,36.53,-28.92,0
1699,신화인터텍(주),56700,2013-12-01,2001-12-13,,5,  고무 및 플라스틱제품 제조업,-17.45,-0.32,-16.97,-3.73,-28.13,8.65,-15.09,0.0,13.67,0.46,1.43,4.48,0.45,9710.86,45.0,67.19,43.74,10.59,-19.23,180.99,1.34,170.3,39.39,35.59,647.23,0.98,3.13,1.73,7.05,6.64,8.41,43.38,51.81,54.94,0.02,0.19,0.98,1.98,2.27,3.34,44585.76,20.32,40.37,113.64,19.03,58.97,41.03,2.4,0
1700,신화인터텍(주),56700,2014-12-01,2001-12-13,,5,  고무 및 플라스틱제품 제조업,-11.35,14.64,-12.34,12.43,-8.08,8.08,4.35,629.46,12.64,3.76,9.62,1.8,3.49,8545.12,324.0,60.37,40.28,7.64,-22.78,171.3,0.64,177.16,34.7,36.86,694.38,0.93,2.56,1.47,7.34,6.1,6.64,54.93,49.75,59.86,0.02,0.15,0.97,1.64,2.5,3.8,48819.75,21.32,38.96,90.69,23.51,51.47,48.53,16.0,0
1701,쌍용건설(주),12650,2012-12-01,1993-01-28,2014-04-11,4,  종합 건설업,-5.6,24.02,115.83,-12.34,-29.33,0.0,-24.29,0.0,0.9,-24.02,-481.88,-9.9,-27.2,57819.84,-13893.0,67.08,57.8,5.47,-32.21,0.0,-2.39,0.0,65.62,0.0,-86.0,1.13,0.0,3.57,19.8,4.78,5.76,63.4,18.43,76.29,0.03,0.05,0.77,42.97,1.66,1.81,-95897.51,-7.32,-216.22,-522.55,-5.57,0.0,0.0,0.0,1
1702,씨비아이(주),13720,2012-12-01,1993-12-29,,5,  자동차 및 트레일러 제조업,-3.01,12.75,19.49,12.54,33.43,12.75,19.65,-38.79,35.03,-18.55,-15.51,-8.69,-10.21,1958.22,-381.0,232.94,201.64,75.44,31.79,45.88,2.41,64.61,55.71,68.55,484.28,0.55,0.84,1.16,6.29,2.03,5.32,68.64,58.04,180.21,0.01,0.33,0.7,1.73,1.05,1.26,5918.68,6.15,20.24,94.15,12.16,192.82,-92.82,-152.58,0
1703,씨비아이(주),13720,2013-12-01,1993-12-29,,5,  자동차 및 트레일러 제조업,3.65,25.01,-0.25,23.84,-10.74,5.04,10.71,-49.33,46.26,2.75,2.21,3.15,1.6,2048.41,58.0,284.88,244.18,36.91,32.7,31.67,1.62,65.32,50.39,75.95,531.72,0.58,0.81,1.24,7.94,2.29,7.86,46.43,45.97,159.63,0.01,0.42,0.79,1.92,1.1,1.28,17019.47,17.5,57.99,264.87,30.18,69.86,30.14,9.1,0
1704,씨비아이(주),13720,2014-12-01,1993-12-29,,5,  자동차 및 트레일러 제조업,-0.85,-1.09,8.98,-0.75,-2.88,0.89,-1.4,-36.02,51.54,2.96,2.07,1.54,1.58,1880.96,57.0,290.84,250.03,14.03,33.37,30.32,1.37,64.05,50.85,76.73,545.63,0.53,0.7,1.08,7.44,1.98,9.15,39.9,49.06,184.47,0.01,3.7,0.78,1.79,1.05,1.23,17900.82,18.13,61.71,277.51,34.26,74.64,25.36,8.63,0
1705,씨제이프레시웨이(주),51500,2012-12-01,2001-07-26,,5,  도매 및 상품 중개업,16.86,19.56,54.22,79.71,34.44,37.44,51.88,-31.92,7.53,0.62,9.59,5.1,2.17,173262.66,1132.0,80.48,47.73,2.59,-13.2,361.79,3.73,210.48,54.42,21.65,1300.86,3.47,15.4,8.12,15.78,12.44,9.35,39.04,23.12,29.34,0.07,0.05,2.8,22.21,6.07,9.87,164617.61,25.33,198.06,1980004.97,8.79,53.88,46.12,7.09,0
1706,씨제이프레시웨이(주),51500,2013-12-01,2001-07-26,,5,  도매 및 상품 중개업,0.22,-23.59,-59.61,-11.05,-5.72,30.07,-8.15,0.0,7.65,-0.75,-8.63,1.55,-2.24,173249.21,-1290.0,109.69,90.56,3.64,4.93,226.1,1.31,143.93,55.86,30.67,1687.14,3.01,11.59,6.71,18.58,9.52,8.82,41.38,19.65,38.33,0.06,0.05,2.62,23.17,5.46,7.74,119044.23,19.94,184.08,1921617.97,6.34,70.81,29.19,-11.75,0
