,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,매출액증가율,유형자산증가율,재고자산증가율,비유동자산증가율,유동자산증가율,자기자본증가율,총자본증가율,순이익증가율,매출액총이익률,매출액순이익률,자기자본순이익률,총자본사업이익률,총자본순이익률,1주당매출액,1주당순이익,유동비율,당좌비율,현금비율,순운전자본비율,부채비율,이자보상배율이자비용,비유동비율,유동자산구성비율,자기자본구성비율,자기자본배율,총자본회전률,자기자본회전률,비유동자산회전률,재고자산회전률,매출채권회전률,매입채무회전률,매입채무회전기간,재고자산회전기간,매출채권회전기간,1회전기간,운전자본회전률,순운전자본회전률,유형자산회전율,유동자산회전률,당좌자산회전률,부가가치,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,label
611,(주)에스앤에스텍,101490,2013-12-01,2009-04-14,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",31.31,11.49,-20.69,3.06,-19.33,-13.91,-4.28,0.0,14.59,-15.53,-13.04,-0.94,-8.03,4353.13,-456.0,70.94,58.03,24.98,-11.31,140.92,-0.6,174.37,27.62,41.51,645.32,0.52,1.18,0.74,9.3,7.29,23.15,15.76,39.23,50.05,0.01,0.0,0.79,0.91,1.71,2.09,10008.24,7.78,12.99,26.05,14.71,96.21,3.79,-105.56,0
612,(주)에스앤에스텍,101490,2014-12-01,2009-04-14,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-32.79,-38.52,-20.93,-34.52,-28.72,-7.89,-32.92,0.0,33.49,-10.21,-9.83,6.42,-4.34,2866.28,-306.0,138.52,110.54,47.35,8.16,75.46,5.79,123.95,29.35,56.99,593.14,0.43,0.89,0.59,7.89,5.08,21.62,16.88,46.23,71.86,0.01,0.0,0.71,0.72,1.5,1.86,7660.65,8.88,16.3,34.37,16.75,67.32,32.68,-60.93,0
613,(주)에스에너지,95910,2012-12-01,2007-10-16,,5,  전기장비 제조업,15.38,-21.75,-60.03,-8.71,18.28,17.0,9.7,0.0,15.98,4.48,14.62,12.16,6.3,21502.68,980.0,169.14,159.64,44.96,30.06,125.35,11.5,59.65,73.53,44.38,1421.16,1.4,3.26,4.84,18.58,4.16,9.1,40.1,19.65,87.64,0.01,0.07,1.24,5.62,1.98,2.22,30319.33,18.07,92.76,156.46,13.45,40.51,59.49,33.31,0
614,(주)에스에너지,95910,2013-12-01,2007-10-16,,5,  전기장비 제조업,19.25,71.16,128.67,65.65,-8.47,9.25,11.15,-13.54,11.89,3.25,11.21,7.38,4.93,25428.76,853.0,163.13,140.25,67.92,23.43,129.27,5.03,90.45,60.55,43.62,1539.66,1.52,3.45,4.55,23.6,4.78,15.53,23.5,15.46,76.31,0.01,0.08,1.42,5.63,2.27,2.52,29247.49,15.68,57.65,93.44,10.88,37.18,62.82,29.85,0
615,(주)에스에너지,95910,2014-12-01,2007-10-16,,5,  전기장비 제조업,1.74,-7.95,27.67,-0.88,33.72,2.3,20.07,-66.66,10.47,1.08,3.54,3.4,1.43,24882.3,280.0,137.92,119.44,41.71,18.54,169.1,2.85,87.64,67.43,37.16,1512.7,1.33,3.32,3.73,15.16,5.91,9.65,37.84,24.08,61.81,0.02,0.09,1.24,4.73,2.07,2.4,28969.41,12.93,59.33,108.93,10.6,58.06,41.94,10.16,0
616,(주)에스에이엠티,31330,2012-12-01,2000-05-23,,5,  도매 및 상품 중개업,5.64,-1.11,22.17,-4.91,-8.56,27.31,-7.82,-6.65,4.11,1.01,21.45,10.95,4.42,12802.76,131.0,106.93,79.96,1.36,5.13,315.58,3.69,86.9,79.09,24.06,134.99,4.38,21.25,21.28,25.17,9.75,19.4,18.82,14.5,37.44,0.03,0.06,2.78,136.45,5.51,7.06,36481.27,16.26,488.76,0.0,3.56,26.29,73.71,28.34,0
617,(주)에스에이엠티,31330,2013-12-01,2000-05-23,,5,  도매 및 상품 중개업,-0.13,-2.78,24.22,0.38,10.8,27.4,8.62,37.33,4.4,1.39,23.13,11.25,6.07,12785.53,180.0,114.48,82.12,7.58,10.21,254.32,3.75,68.47,80.67,28.22,171.98,4.37,16.66,21.76,20.38,9.93,18.19,20.07,17.91,36.74,0.03,0.08,2.87,138.96,5.47,7.47,37236.03,15.28,513.14,0.0,3.64,26.97,73.03,38.13,0
618,(주)에스에이엠티,31330,2014-12-01,2000-05-23,,5,  도매 및 상품 중개업,-3.87,0.77,65.94,31.11,-9.77,-7.72,-1.87,0.0,5.0,-0.34,-5.07,-1.63,-1.39,12290.1,-43.0,102.59,49.25,3.02,1.87,276.81,-0.61,97.29,74.18,26.54,158.7,4.07,14.87,18.06,13.3,10.71,15.98,22.84,27.44,34.08,0.03,0.12,2.74,134.97,5.26,8.69,7977.39,3.34,109.1,0.0,0.81,116.13,-16.13,-42.0,0
619,(주)에스에이티,60540,2012-12-01,2006-11-28,,5,"  의료, 정밀, 광학기기 및 시계 제조업",-47.55,-0.32,-20.96,-8.27,1.94,25.2,-4.86,0.0,21.3,32.81,16.34,-1.15,10.14,1790.14,587.0,146.61,141.94,76.47,11.37,41.34,-1.3,90.8,35.75,70.75,799.43,0.31,0.5,0.47,24.54,2.74,10.87,33.58,14.87,133.34,0.01,0.06,0.51,3.48,0.89,0.93,14756.89,28.18,310.14,248223.47,88.92,43.0,57.0,36.9,0
620,(주)에스에이티,60540,2013-12-01,2006-11-28,,5,"  의료, 정밀, 광학기기 및 시계 제조업",-76.91,-54.76,-55.01,342.11,-17.02,228.78,88.15,0.0,35.35,-41.07,-8.62,-3.32,-6.15,675.46,-281.0,149.29,139.8,60.73,10.3,39.24,-5.18,95.82,31.19,71.82,577.74,0.15,0.21,0.23,9.66,1.86,8.22,44.4,37.79,196.11,0.01,0.3,0.27,1.99,0.45,0.47,2148.66,4.34,74.36,3946.33,28.17,187.85,-87.85,-145.77,0
621,(주)에스에이티,60540,2014-12-01,2006-11-28,,5,"  의료, 정밀, 광학기기 및 시계 제조업",120.23,123.69,10.19,6.97,75.36,29.17,28.3,0.0,30.05,11.2,4.71,3.6,3.32,944.31,142.0,302.72,290.63,208.56,28.54,38.3,4.33,79.35,42.62,72.31,496.33,0.3,0.41,0.48,16.27,3.34,15.23,23.97,22.44,109.25,0.01,0.23,0.54,3.59,0.79,0.83,7090.03,11.15,112.15,1571.52,42.21,58.9,41.1,26.53,0
622,(주)에스에프에이,56190,2012-12-01,2001-12-18,,5,  기타 기계 및 장비 제조업,-35.06,-1.83,-65.48,-3.95,2.77,4.63,1.06,-19.64,26.74,14.05,19.56,13.92,12.39,28265.11,4070.0,239.9,237.09,21.8,44.24,55.09,1488.53,37.44,75.86,64.48,4155.14,0.88,1.39,3.56,50.62,5.51,6.15,59.39,7.21,66.29,0.07,0.02,0.82,4.4,1.17,1.2,176151.82,30.45,155.87,2369.26,34.71,47.22,52.78,40.49,0
623,(주)에스에프에이,56190,2013-12-01,2001-12-18,,5,  기타 기계 및 장비 제조업,-5.71,-2.85,16.5,-0.27,2.42,23.77,1.77,-11.54,26.2,13.18,15.12,12.59,10.81,26650.92,3609.0,419.05,413.47,95.88,58.12,27.52,44552.04,30.17,76.34,78.42,5142.86,0.82,1.15,3.43,85.92,6.98,7.83,46.62,4.25,52.29,0.1,0.01,0.81,4.25,1.08,1.09,165469.0,28.11,152.4,2667.58,34.58,51.11,48.89,38.13,0
624,(주)에스에프에이,56190,2014-12-01,2001-12-18,,5,  기타 기계 및 장비 제조업,-13.24,-6.7,-8.17,-5.73,7.22,3.42,4.15,-34.53,19.88,9.95,8.8,8.95,6.87,23121.75,2353.0,398.7,394.14,283.35,58.88,28.42,534.57,27.5,78.59,77.87,5318.89,0.69,0.88,3.07,72.22,8.67,9.84,37.11,5.05,42.09,0.1,0.01,0.72,3.87,0.89,0.9,123060.17,20.07,118.89,1999.05,29.64,54.78,45.22,33.57,0
625,(주)에스에프에이반도체,36540,2012-12-01,2001-05-02,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",16.04,18.48,7.8,17.79,26.03,-9.8,20.15,-90.1,9.01,0.0,0.55,4.28,0.0,12417.75,26.0,78.18,60.3,22.92,-8.37,260.37,1.16,252.25,30.0,27.75,884.17,0.82,2.55,1.15,11.29,10.77,15.36,23.76,32.32,33.89,0.02,0.15,1.21,1.5,2.78,3.68,134536.62,18.68,40.69,69.11,25.01,48.3,51.7,-0.02,0
626,(주)에스에프에이반도체,36540,2013-12-01,2001-05-02,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0.54,-1.56,-22.67,10.12,-4.44,-15.44,5.75,0.0,5.39,-14.23,-29.7,-1.33,-10.38,12484.66,-1166.0,54.7,44.57,13.81,-22.46,350.69,-0.44,328.51,27.11,22.19,641.69,0.73,2.93,1.02,12.34,11.59,15.69,23.26,29.57,31.49,0.03,0.12,1.0,1.4,2.56,3.23,97333.56,12.78,27.09,54.52,18.0,77.07,22.93,-79.05,0
627,(주)에스에프에이반도체,36540,2014-12-01,2001-05-02,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1.88,17.98,1.77,9.49,-0.55,20.62,6.77,0.0,14.51,-5.27,-11.67,6.07,-3.69,10093.5,-308.0,50.56,40.98,12.44,-24.69,298.95,1.6,298.21,25.25,25.07,537.22,0.7,2.96,0.95,14.29,10.66,16.3,22.39,25.54,34.24,0.03,0.12,0.92,1.32,2.68,3.29,117535.43,14.45,26.92,54.59,21.33,53.77,46.23,-24.72,0
628,(주)에스엠라이프디자인그룹,63440,2012-12-01,2002-05-30,,5,  인쇄 및 기록매체 복제업,-18.21,-1.73,-66.14,-7.47,-45.79,-17.9,-17.36,0.0,22.37,-2.67,-5.15,3.38,-1.65,4141.91,-111.0,58.58,56.05,1.8,-23.71,199.33,-11.02,198.95,33.54,33.41,476.86,0.62,1.93,0.94,40.61,4.07,5.86,62.29,8.99,89.7,0.03,0.03,0.68,29.71,1.8,1.89,6418.42,7.22,376.11,533.64,12.45,72.51,27.49,-21.46,0
629,(주)에스엠라이프디자인그룹,63440,2013-12-01,2002-05-30,,5,  인쇄 및 기록매체 복제업,-10.45,-0.05,212.33,-25.63,244.19,-26.46,20.04,0.0,25.33,-51.73,-47.17,-12.86,-21.82,1406.75,-799.0,97.37,94.84,15.04,-1.31,115.87,-5.41,111.11,48.53,46.33,289.6,0.42,0.91,0.82,33.5,8.35,8.24,44.27,10.9,43.72,0.1,0.03,0.43,0.98,0.87,0.89,-671.64,-1.82,-4.25,-22.75,-4.33,0.0,0.0,0.0,0
630,(주)에스엠라이프디자인그룹,63440,2014-12-01,2002-05-30,,5,  인쇄 및 기록매체 복제업,48.01,-3.16,109.92,-6.28,-49.96,-11.05,-27.48,0.0,26.59,-27.76,-39.51,-15.85,-20.08,1600.8,-499.0,88.2,78.61,23.89,-4.48,76.01,-6.31,117.07,33.48,56.82,198.04,0.72,1.43,1.25,32.0,7.72,8.18,44.63,11.41,47.29,0.07,0.03,0.83,1.48,1.71,1.81,1603.63,6.01,10.47,57.18,6.98,381.09,-281.09,-397.75,0
631,(주)에스엠엔터테인먼트,41510,2012-12-01,2000-04-27,,5,  영상ㆍ오디오 기록물 제작 및 배급업,68.76,103.32,120.97,100.65,87.0,126.1,92.04,86.27,45.45,15.23,18.94,19.69,11.39,12085.97,1992.0,233.78,227.05,117.47,35.12,38.22,35.37,53.38,61.38,72.35,2052.37,0.75,1.03,1.94,42.35,11.36,6.09,59.94,8.62,32.13,0.0,0.02,0.85,6.12,1.22,1.25,90871.07,28.15,253.66,5204.89,37.65,22.86,77.14,40.46,0
632,(주)에스엠엔터테인먼트,41510,2013-12-01,2000-04-27,,5,  영상ㆍ오디오 기록물 제작 및 배급업,11.34,37.11,28.97,18.43,23.47,14.05,21.52,-42.2,36.73,8.7,10.41,12.04,6.53,13051.84,1119.0,216.74,210.23,93.67,33.59,47.28,27.54,55.43,62.36,67.9,2238.3,0.75,1.07,1.97,41.19,8.15,5.29,68.94,8.86,44.81,0.0,0.02,0.84,5.75,1.21,1.25,98380.34,25.08,190.24,5680.77,36.61,31.97,68.03,23.75,0
633,(주)에스엠엔터테인먼트,41510,2014-12-01,2000-04-27,,5,  영상ㆍ오디오 기록물 제작 및 배급업,6.8,49.84,16.99,26.01,-19.64,5.7,-2.46,-73.87,35.61,0.64,2.54,9.32,0.47,13898.51,292.0,231.53,221.4,108.55,29.18,35.91,46.66,66.09,51.37,73.58,2337.71,0.74,1.05,1.72,35.99,6.24,6.0,60.81,10.14,58.46,0.13,0.03,0.9,4.25,1.3,1.35,95255.76,24.89,153.3,4571.86,33.19,40.46,59.54,1.92,0
634,(주)에스엠컬처앤콘텐츠,48550,2012-12-01,2001-01-18,,5,  전문 서비스업,19.86,5.82,0.0,53.82,99.96,106.91,75.19,0.0,58.22,-65.52,-46.11,-5.69,-32.5,401.0,-276.0,242.77,242.77,113.0,31.09,34.63,-23.05,63.45,52.87,74.28,122.67,0.5,0.71,1.0,0.0,4.33,13.48,27.08,0.0,84.29,0.02,0.0,0.64,21.78,0.98,0.98,-3367.32,-6.71,-364.83,-10409.67,-17.22,0.0,0.0,0.0,0
635,(주)에스엠컬처앤콘텐츠,48550,2013-12-01,2001-01-18,,5,  전문 서비스업,194.55,46.94,0.0,36.95,95.2,38.69,67.75,0.0,23.6,-1.68,-2.04,0.23,-1.44,903.96,-15.0,210.8,210.8,61.78,32.34,62.83,-1.38,62.66,61.52,61.41,153.82,0.86,1.29,2.06,0.0,7.01,61.64,5.92,0.0,52.07,0.02,0.0,1.01,50.54,1.47,1.47,21410.72,25.44,1578.76,5216.33,37.18,52.58,47.42,-4.51,0
636,(주)에스엠컬처앤콘텐츠,48550,2014-12-01,2001-01-18,,5,  전문 서비스업,8.84,478.65,0.0,28.37,-16.99,7.27,0.46,0.0,12.62,-13.48,-15.74,-7.16,-10.01,902.85,-129.0,189.24,189.24,55.77,23.97,52.5,-12.2,74.98,50.83,65.57,159.57,0.74,1.17,1.69,0.0,6.27,142.28,2.57,0.0,58.18,0.02,0.0,0.88,13.62,1.32,1.32,20143.28,23.82,256.68,1999.01,32.14,74.13,25.87,-41.94,0
637,(주)에스엠코어,7820,2012-12-01,2011-11-08,,5,  기타 기계 및 장비 제조업,16.5,7.05,12.16,10.3,-3.19,8.59,0.2,-9.09,14.51,7.2,13.75,11.43,8.23,11789.37,812.0,216.19,213.47,45.15,38.88,61.0,63.59,44.53,72.34,62.11,1272.54,1.14,1.92,4.33,132.51,2.19,4.18,87.39,2.75,166.46,0.01,0.01,1.05,5.59,1.55,1.57,15495.61,22.61,107.04,801.73,19.79,50.63,49.37,36.38,0
638,(주)에스엠코어,7820,2013-12-01,2011-11-08,,5,  기타 기계 및 장비 제조업,-2.95,16.3,990.36,14.78,11.41,10.1,12.34,-13.19,12.36,6.59,10.93,8.08,6.88,10907.24,677.0,198.36,173.9,25.39,35.58,64.27,59.03,46.42,71.74,60.87,1332.1,1.04,1.7,3.73,20.44,2.08,4.0,91.28,17.86,175.59,0.01,0.05,0.98,4.85,1.45,1.56,16579.0,21.53,98.47,458.66,21.81,59.94,40.06,30.21,0
639,(주)에스엠코어,7820,2014-12-01,2011-11-08,,5,  기타 기계 및 장비 제조업,20.99,-3.84,-94.76,-1.45,4.36,8.46,2.72,30.93,12.47,6.93,13.11,9.93,8.17,12597.02,909.0,223.57,222.19,23.3,40.29,55.57,67.86,42.17,72.89,64.28,1379.76,1.18,1.88,4.26,25.65,2.15,4.83,75.58,14.23,169.85,0.01,0.04,1.1,5.57,1.63,1.74,19199.38,24.27,118.59,581.13,20.88,52.52,47.48,33.2,0
640,(주)에스제이케이,80440,2014-12-01,2005-05-13,2021-09-13,4,  도매 및 상품 중개업,-28.45,-7.9,-21.29,-17.1,-17.33,-58.34,-17.17,0.0,3.98,-32.3,-78.09,-8.96,-20.49,3311.02,-977.0,43.14,27.1,1.47,-41.68,547.61,-3.45,442.76,31.63,15.44,154.65,0.63,2.67,0.93,5.24,6.73,4.26,85.62,69.62,54.2,0.03,0.13,0.65,2.08,2.0,3.24,-5380.88,-6.82,-21.15,-1018.28,-9.74,0.0,0.0,0.0,1
641,(주)에스지엔지,40610,2012-12-01,2000-04-27,,5,  창고 및 운송관련 서비스업,2.63,-0.79,26.99,-7.87,16.57,2.6,2.74,-35.79,17.55,1.75,7.33,3.68,1.8,28034.51,381.0,146.4,99.15,6.96,15.61,93.43,3.07,98.15,49.26,51.7,1049.5,1.03,1.98,1.91,7.13,4.46,9.18,39.76,51.2,81.88,0.01,0.42,1.23,5.17,2.21,3.21,109325.4,11.59,59.41,371.81,11.44,58.01,41.99,15.28,0
642,(주)에스지엔지,40610,2013-12-01,2000-04-27,,5,  창고 및 운송관련 서비스업,5.38,4.27,8.23,2.62,8.04,7.13,5.29,90.12,16.7,3.55,12.69,4.96,3.69,29542.67,899.0,131.92,89.27,8.66,12.23,90.1,4.79,94.02,50.54,52.6,1187.34,1.04,1.99,2.08,6.45,4.48,10.11,36.1,56.6,81.41,0.01,1.22,1.21,5.36,2.08,3.08,135744.73,13.66,70.81,353.27,13.48,51.98,48.02,26.32,0
643,(주)에스지엔지,40610,2014-12-01,2000-04-27,,5,  창고 및 운송관련 서비스업,-4.51,3.84,-24.05,15.28,-11.08,5.16,1.96,-17.83,17.54,2.78,9.37,4.24,2.66,28209.65,738.0,120.75,87.4,6.25,7.57,84.32,4.28,103.07,44.08,54.25,1303.93,0.96,1.79,1.82,6.73,4.34,9.98,36.58,54.21,84.1,0.01,0.91,1.13,4.92,2.03,2.9,128241.02,12.66,65.04,313.79,13.34,54.45,45.55,20.84,0
644,(주)에스코넥,96630,2012-12-01,2007-12-26,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",54.07,-2.79,4.22,-1.06,14.06,25.0,8.47,123.07,14.71,1.58,7.39,8.41,2.91,3388.36,58.0,122.68,100.95,6.59,12.25,143.24,3.73,82.1,66.25,41.11,393.62,1.84,4.77,5.2,15.35,6.26,7.09,51.47,23.78,58.27,0.03,0.07,1.51,6.69,2.84,3.48,28982.64,23.66,91.68,212.44,13.4,63.71,36.29,11.82,0
645,(주)에스코넥,96630,2013-12-01,2007-12-26,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",46.07,42.76,-18.76,36.34,24.29,25.08,28.36,215.13,13.05,3.36,18.63,10.93,7.58,4932.64,165.0,158.6,140.23,63.28,23.7,149.61,6.25,89.5,64.15,40.06,490.4,2.26,5.57,6.46,24.24,8.87,10.18,35.86,15.06,41.17,0.05,0.04,2.03,8.16,3.47,4.05,46693.57,29.69,104.0,252.21,14.78,58.7,41.3,22.7,0
646,(주)에스코넥,96630,2014-12-01,2007-12-26,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-11.3,12.34,13.31,11.58,2.61,0.59,5.83,-41.78,14.2,2.28,9.75,8.06,3.94,4358.09,99.0,117.38,102.37,48.68,9.21,162.62,3.66,99.28,62.2,38.08,489.76,1.73,4.43,4.7,22.49,7.98,9.4,38.81,16.23,45.74,0.04,0.05,1.57,5.8,2.74,3.12,43358.5,26.05,92.69,245.36,15.48,54.4,45.6,14.71,0
647,(주)에스텍파마,41910,2012-12-01,2004-02-06,,5,  의료용 물질 및 의약품 제조업,4.63,47.95,0.4,55.53,15.21,22.2,33.73,17.95,60.93,11.8,8.38,8.3,6.18,2227.15,287.0,319.14,319.13,102.04,56.46,35.4,12.18,24.06,82.23,73.86,648.88,0.52,0.71,2.9,17835.44,1.84,2.41,151.65,0.02,198.31,0.02,0.0,0.49,5.07,0.64,0.64,6964.04,23.31,238.27,0.0,45.98,67.54,32.46,25.66,0
648,(주)에스텍파마,41910,2013-12-01,2004-02-06,,5,  의료용 물질 및 의약품 제조업,-27.93,-4.34,27.21,-1.59,2.82,11.97,0.47,-62.94,30.88,8.76,5.45,6.45,3.55,3879.91,359.0,238.89,130.87,55.05,27.72,53.58,4.08,80.34,47.69,65.11,1248.24,0.4,0.62,0.77,1.88,3.23,10.08,36.21,194.43,112.85,0.0,0.0,0.6,0.91,0.85,1.55,15814.37,15.15,34.1,118.75,37.43,38.52,61.48,23.41,0
649,(주)에스텍파마,41910,2014-12-01,2004-02-06,,5,  의료용 물질 및 의약품 제조업,4.66,-5.13,14.31,-7.39,28.57,11.81,9.76,130.6,19.64,19.31,11.86,0.09,7.8,4060.6,795.0,175.75,105.1,10.57,24.08,50.75,-0.04,66.54,55.86,66.33,1395.72,0.4,0.61,0.84,1.83,3.26,7.61,47.95,199.06,112.08,0.0,0.0,0.52,0.98,0.78,1.35,20882.96,18.23,47.57,182.16,47.23,27.53,72.47,40.89,0
650,(주)에스티아이,39440,2012-12-01,2002-02-28,,5,  기타 기계 및 장비 제조업,-22.3,-4.36,30.6,-0.83,5.46,14.52,2.37,-52.14,20.88,5.6,15.94,10.29,8.31,5987.5,332.0,123.23,114.0,9.24,9.88,79.14,26.85,85.27,52.4,55.82,444.95,1.48,2.8,3.07,42.3,4.49,9.39,38.87,8.63,81.37,0.02,0.03,1.53,4.62,2.87,3.08,19092.16,38.84,125.32,2245.44,26.5,70.01,29.99,21.14,0
651,(주)에스티아이,39440,2013-12-01,2002-02-28,,5,  기타 기계 및 장비 제조업,38.41,1.75,-9.08,48.83,-5.68,17.45,20.27,12.85,16.85,4.63,15.38,10.49,8.53,8287.23,374.0,97.4,90.37,12.61,-1.1,83.44,13.43,108.05,41.1,54.51,528.61,1.84,3.34,3.43,54.14,6.4,18.0,20.28,6.74,57.03,0.02,0.02,2.08,6.49,3.98,4.3,20621.71,34.89,133.02,2845.66,20.68,72.51,27.49,22.4,0
652,(주)에스티아이,39440,2014-12-01,2002-02-28,,5,  기타 기계 및 장비 제조업,21.52,-2.78,-19.54,-15.22,92.43,22.73,29.02,15.9,17.07,4.47,14.82,13.38,8.0,10070.35,436.0,134.66,130.6,15.6,15.78,92.84,52.48,74.64,61.3,51.86,642.29,1.79,3.38,3.77,76.56,5.74,10.75,33.94,4.77,63.58,0.03,0.01,1.85,7.93,3.41,3.57,23654.34,31.01,156.96,3620.18,19.52,68.32,31.68,22.9,0
653,(주)에스티오,98660,2012-12-01,2009-04-17,,5,"  의복, 의복 액세서리 및 모피제품 제조업",-4.52,-10.9,-5.97,-13.51,-0.22,3.05,-6.16,-22.05,65.6,1.74,5.02,7.34,2.02,16736.6,311.0,118.29,40.02,6.02,9.1,136.46,2.44,97.32,58.85,42.29,1178.07,1.16,2.88,2.71,2.99,18.0,7.71,47.33,122.04,20.27,0.01,0.08,1.1,4.43,2.04,6.41,16345.69,20.57,80.52,241.77,17.12,48.43,51.57,10.16,0
654,(주)에스티오,98660,2013-12-01,2009-04-17,,5,"  의복, 의복 액세서리 및 모피제품 제조업",-9.79,-12.07,7.36,-5.05,-3.17,-15.8,-3.94,0.0,58.47,-6.02,-16.76,-3.72,-6.66,15098.2,-971.0,118.08,31.45,4.17,9.08,169.76,-1.99,109.74,59.32,37.07,991.92,1.11,2.78,2.7,2.68,19.71,6.47,56.42,135.94,18.52,0.01,0.06,1.01,4.51,1.87,6.18,7693.46,10.08,43.1,170.17,8.93,108.06,-8.06,-67.42,0
655,(주)에스티오,98660,2014-12-01,2009-04-17,,5,"  의복, 의복 액세서리 및 모피제품 제조업",8.79,4.18,3.26,2.14,2.8,-5.0,2.53,0.0,58.37,-1.29,-4.37,2.91,-1.56,11187.05,-151.0,116.6,30.67,1.78,8.47,191.14,0.86,117.99,59.48,34.35,641.86,1.21,3.4,2.99,2.78,23.29,5.54,65.88,131.51,15.67,0.01,0.05,1.1,5.14,2.04,7.71,13146.71,16.8,70.69,244.02,14.03,65.77,34.23,-9.17,0
656,(주)에스티큐브,52020,2012-12-01,2001-07-05,,5,  도매 및 상품 중개업,51.35,-26.56,47.01,-16.3,-3.85,-11.88,-11.05,0.0,28.45,-13.36,-16.0,-0.62,-10.31,1182.19,-159.0,162.61,119.65,34.82,17.57,56.04,-2.17,84.84,45.63,64.09,185.0,0.77,1.2,1.37,8.09,5.16,8.07,45.21,45.13,70.74,0.01,0.19,1.09,5.55,1.76,2.25,1580.09,11.52,92.27,105.71,14.07,150.99,-50.99,-94.98,0
657,(주)에스티큐브,52020,2013-12-01,2001-07-05,,5,  도매 및 상품 중개업,-21.18,-68.3,-14.92,-44.72,274.52,24.3,100.95,0.0,16.66,-120.04,-107.83,-27.89,-51.5,796.81,-960.0,720.34,677.1,115.25,73.24,152.26,-4.41,37.73,85.04,39.64,182.7,0.43,0.9,1.53,5.79,4.05,5.72,63.85,63.07,90.07,0.01,0.24,0.48,7.85,0.6,0.66,-5946.29,-21.58,-1095.37,-2485.0,-67.17,0.0,0.0,0.0,0
658,(주)에스티큐브,52020,2014-12-01,2001-07-05,,5,  도매 및 상품 중개업,-38.06,-38.6,-37.08,153.46,-11.57,96.48,13.11,0.0,11.61,-179.55,-60.81,-15.1,-33.53,400.58,-662.0,318.18,304.6,222.07,45.59,45.22,-6.29,48.67,66.49,68.86,198.57,0.19,0.34,0.75,4.79,3.57,8.08,45.19,76.26,102.32,0.01,3.62,0.2,12.52,0.25,0.26,-6443.4,-20.67,-1933.12,-4787.96,-117.5,0.0,0.0,0.0,0
659,(주)에스폴리텍,50760,2012-12-01,2002-05-16,,5,  고무 및 플라스틱제품 제조업,-10.74,4.45,2.92,4.29,1.11,2.56,2.61,-58.97,15.97,1.25,3.15,5.24,1.51,8176.99,99.0,114.69,83.92,9.58,6.66,115.81,2.62,103.69,51.96,46.34,634.13,1.21,2.6,2.53,8.66,6.31,13.98,26.11,42.14,57.88,0.01,1.01,1.23,2.64,2.3,3.14,14344.9,13.08,30.62,51.1,10.99,53.29,46.71,11.37,0
660,(주)에스폴리텍,50760,2013-12-01,2002-05-16,,5,  고무 및 플라스틱제품 제조업,-9.33,5.94,-12.56,6.12,-14.71,0.95,-4.7,-10.38,13.48,1.24,2.78,3.36,1.37,7245.23,89.0,103.32,74.89,12.65,1.49,103.74,2.26,109.0,46.5,49.08,624.99,1.11,2.32,2.18,8.26,4.57,12.3,29.67,44.19,79.86,0.01,1.9,1.17,2.27,2.24,3.08,15236.87,14.58,28.7,45.04,12.87,57.59,42.41,9.61,0
661,(주)에스폴리텍,50760,2014-12-01,2002-05-16,,5,  고무 및 플라스틱제품 제조업,-4.89,-0.78,-39.26,-1.05,-8.28,-7.99,-4.41,0.0,9.79,-3.82,-8.88,-2.51,-4.21,6891.21,-278.0,89.8,73.44,21.15,-5.07,111.68,-1.81,117.24,44.62,47.24,574.21,1.1,2.29,2.02,10.48,4.51,13.68,26.68,34.84,80.87,0.01,0.76,1.19,2.11,2.42,3.14,9798.61,9.81,18.45,29.38,8.7,97.39,2.61,-43.92,0
662,(주)에스피지,58610,2012-12-01,2002-07-23,,5,  전기장비 제조업,1.05,14.6,3.62,10.78,-1.92,-2.84,2.76,-54.32,19.98,1.48,2.58,3.95,1.3,7947.49,118.0,151.44,94.12,22.42,20.5,104.37,2.89,81.04,60.35,48.93,897.11,0.88,1.75,2.3,3.86,3.51,5.52,66.08,94.48,104.04,0.01,0.54,0.86,2.87,1.42,2.25,20255.8,16.52,51.18,238.15,19.05,69.08,30.92,7.76,0
663,(주)에스피지,58610,2013-12-01,2002-07-23,,5,  전기장비 제조업,8.76,3.15,12.13,0.85,9.7,3.06,6.19,159.7,19.5,3.53,6.7,4.8,3.23,8643.32,305.0,140.09,85.89,16.77,17.84,110.58,3.33,79.31,62.34,47.49,924.54,0.91,1.9,2.37,3.89,3.56,5.51,66.29,93.79,102.45,0.01,0.51,0.88,2.88,1.49,2.41,23827.91,18.3,58.41,268.04,20.61,62.43,37.57,17.14,0
