회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)나이스디앤비,130580,2012/12,10.54,9.49,15.68,13.49,76.92,13.25,0.81,0.99,44.65,3968.68
(주)나이스디앤비,130580,2013/12,1.59,9.44,15.38,12.76,88.52,14.07,0.75,0.9,42.29,4051.19
(주)나이스디앤비,130580,2014/12,7.9,14.51,17.15,14.1,78.48,14.31,0.73,0.88,40.43,5405.85
(주)네오리진,94860,2011/12,10.91,41.9,2.86,3.95,-3.41,-1.32,0.72,1.04,16.03,302.0
(주)네오리진,94860,2012/12,5.82,13.4,-11.32,3.71,15.54,5.98,0.61,0.98,2.05,41.17
(주)네오리진,94860,2013/12,68.52,-4.02,-29.82,-4.24,16.93,7.8,0.98,1.69,-3.27,-78.2
(주)네오리진,94860,2014/12,-16.81,-27.26,-52.66,-16.19,6.26,3.78,0.96,2.01,-24.51,-656.68
(주)네오위즈,95660,2011/12,39.92,38.3,13.38,21.73,19.84,10.83,1.16,2.35,31.82,173.16
(주)네오위즈,95660,2012/12,-0.62,4.4,0.64,21.2,20.25,10.22,0.97,2.05,19.86,117.42
(주)네오위즈,95660,2013/12,-36.84,-10.71,14.21,16.98,51.63,17.91,0.64,1.12,23.32,129.09
(주)네오위즈,95660,2014/12,-62.45,-16.28,0.91,7.73,66.82,14.38,0.28,0.39,9.96,2127.61
(주)네오위즈홀딩스,42420,2011/12,24.89,25.81,193.7,11.95,1.82,0.25,0.05,0.06,10.38,35755.27
(주)네오위즈홀딩스,42420,2012/12,45.78,4.22,120.78,3.25,29.03,2.72,0.07,0.08,6.85,34457.68
(주)네오위즈홀딩스,42420,2013/12,-81.24,-10.41,-79.07,0.05,2383.89,3.63,0.01,0.01,-4.38,-35669.89
