회사명,거래소코드,회계년도,매출액증가율(IFRS),매출액순이익률(IFRS),총자본투자효율(IFRS),CASH FLOW 대 부채비율(IFRS),총자본회전률(IFRS)
(주)브리지텍,064480,2012/12,26.13,15.5,44.85,18.18,1.04
(주)브이티지엠피,018290,2012/12,-8.69,-1.8,17.58,3.21,0.64
(주)블레이드엔터테인먼트,044480,2012/12,0.6,8.3,26.27,2.3,0.77
(주)블루콤,033560,2012/12,43.15,10.18,10,54.9,0.53
(주)비덴트,121800,2012/06,29.63,22.06,26.82,50.43,0.73
(주)비보존제약,082800,2012/12,148.4,0.92,23.65,6.97,1.91
(주)비아트론,141000,2012/12,12.92,19.22,23.4,-4.07,1.04
(주)비엘팜텍,065170,2012/12,5.92,-7.03,-8.95,13.63,0.98
(주)비엠티,086670,2012/12,-3.7,6.85,15.88,21.25,0.62
(주)비지에프에코머티리얼즈,126600,2012/12,5.01,6.77,22.55,-0.15,1.68
(주)비츠로셀,082920,2012/03,16.19,13.64,31.26,80.65,0.96
(주)비츠로시스,054220,2012/03,15.42,1.45,13.19,-1.82,1.16
(주)비츠로테크,042370,2012/03,8.35,0.62,14.79,-6.61,1.08
(주)비케이홀딩스,050090,2012/12,-11.46,45.58,37.44,11.84,0.46
(주)비트컴퓨터,032850,2012/12,6.84,0.59,13.78,8.97,0.6
(주)빅솔론,093190,2012/12,-6.17,18.03,28.54,79.34,0.94
(주)빅텍,065450,2012/12,-9.83,-18.77,12.38,-29.54,0.62
(주)사람인,143240,2012/12,16.41,9.83,111.4,41.29,1.62
(주)삼기,122350,2012/12,0,2.38,25.63,10.8,1.28
(주)삼보판지,023600,2012/12,-0.99,5.71,8.24,8.48,0.43
(주)삼일,032280,2012/12,-2.89,0.24,17.84,4.49,0.88
(주)삼일기업공사,002290,2012/12,36.87,5.75,14.57,16.37,0.99
(주)삼진,032750,2012/12,52.64,3.49,20.79,26.5,1.7
(주)삼진엘앤디,054090,2012/12,-9.32,4.85,15.47,-8.98,0.84
(주)삼표시멘트,038500,2012/12,12.36,-11.37,7.99,2.81,0.43
(주)삼화네트웍스,046390,2012/12,-34.99,-21.18,-4.3,-28.65,0.42
(주)상보,027580,2012/12,39.15,3.16,24.95,15.24,1.49
(주)상상인,038540,2012/12,40.17,12.06,12.53,27.49,0.84
(주)상상인인더스트리,101000,2012/12,26.24,-12.59,7.44,-10.07,0.67
(주)상아프론테크,089980,2012/12,-10.58,5.17,23.61,13,0.81
(주)상지카일룸,042940,2012/12,-33.38,-101.43,-51.15,-48.57,0.57
(주)새로닉스,042600,2012/12,0.36,-8.75,8.77,5.99,0.72
(주)서린바이오사이언스,038070,2012/12,35.3,9.01,21.44,20.97,1.06
(주)서부티엔디,006730,2012/12,22.72,0.73,1.43,5.13,0.05
(주)서산,079650,2012/12,61.41,8.88,35.9,46.25,1.31
(주)서연탑메탈,019770,2012/12,0.81,6.76,27.67,3.91,1.39
(주)서울리거,043710,2012/12,92.27,3.51,24.06,-24.42,2.59
(주)서울옥션,063170,2012/12,27.46,11.45,9.02,0.44,0.27
(주)서울제약,018680,2012/12,5.83,11,30.79,19.94,0.9
(주)서원인텍,093920,2012/12,-6.11,8.95,33.4,52.26,1.56
(주)서진오토모티브,122690,2012/12,0,0.15,16.93,-7.26,0.86
(주)서한,011370,2012/12,16.1,2.72,13.78,-8,1.01
(주)서희건설,035890,2012/12,-14.26,-1.32,9.35,-15.72,1.15
(주)선광,003100,2012/12,-1.85,14,18.31,29.69,0.33
(주)성광벤드,014620,2012/12,35.69,15.2,20.57,21.83,0.78
(주)성도이엔지,037350,2012/12,7.16,3.49,33.84,3.93,0.94
(주)성우하이텍,015750,2012/12,8.46,6.6,15.74,6.54,0.89
(주)성창오토텍,080470,2012/12,9.03,5.47,18.87,-6.54,1.21
(주)세동,053060,2012/12,18.87,0.51,19.69,2.48,1.21
(주)세보엠이씨,011560,2012/12,-33.15,3.02,80.33,24.93,1.67
(주)세운메디칼,100700,2012/12,14.01,10.68,28.71,130.99,0.9
(주)세원물산,024830,2012/12,5.76,12.64,15.6,15.21,0.39
(주)세중,039310,2012/12,0.55,9.57,37.6,26.78,0.79
(주)세진티에스,067770,2012/12,-31.29,-10.44,6.97,14.06,0.55
(주)세코닉스,053450,2012/12,73.69,10.23,23.63,3.64,1.13
(주)셀루메드,049180,2012/12,11.25,3.49,8.57,4.04,0.38
(주)셀바스에이아이,108860,2012/12,32,-26.26,8.88,46.89,0.51
(주)셀트리온제약,068760,2012/12,5.76,8.8,5.87,-2.74,0.16
(주)셀피글로벌,068940,2012/12,17.53,11.48,31.85,56.89,1.23
(주)소프트센,032680,2012/09,83.55,-6.98,2.91,-35.03,0.64
(주)손오공,066910,2012/12,-2.94,-7.07,9.71,12.75,0.93
(주)솔고바이오메디칼,043100,2012/12,13.34,-33.82,-0.99,-0.19,0.44
(주)솔본,035610,2012/12,-2.53,141.67,4.87,-77.44,0.03
(주)쇼박스,086980,2012/12,79.68,-5.61,23.75,18.17,0.54
(주)수성샐바시온,084180,2012/12,-14.43,7.35,13.53,15.56,0.57
(주)슈프리마에이치큐,094840,2012/12,24.51,29.6,16.24,147.64,0.46
(주)스마트솔루션즈,136510,2012/12,-65.95,-29.13,7.51,-86.99,0.16
(주)스맥,099440,2012/12,8,1.13,15.03,-5.94,1.08
(주)스카이문스테크놀로지,033790,2012/12,-46.79,-16.35,-3.43,6.42,0.5
(주)스킨앤스킨,159910,2012/12,0,28.18,21.96,66.37,0.47
(주)스타플렉스,115570,2012/12,19.39,-7.75,2.44,16.01,0.71
(주)스페코,013810,2012/12,8.06,6.74,13.58,7.83,0.65
(주)승일,049830,2012/12,4.57,4.57,18.55,28.38,1.06
(주)시공테크,020710,2012/12,-3.35,7.28,20.69,28.46,0.97
(주)시너지이노베이션,048870,2012/12,37.44,-4.36,6.64,2.85,0.47
(주)시노펙스,025320,2012/12,38.66,-6.69,3.31,4.05,2.28
(주)시큐브,131090,2012/12,15.96,15.68,23.63,25.53,0.73
(주)시티랩스,139050,2012/12,30.66,2.15,35.28,27.53,1.48
(주)신진에스엠,138070,2012/12,4.65,20.77,24.72,34.69,0.68
(주)심텍홀딩스,036710,2012/12,2.98,3.89,30.39,22.98,1.33
(주)쎄니트,037760,2012/12,19.57,-2.46,5.76,4.45,0.55
(주)쎄트렉아이,099320,2012/12,25.94,13.38,31.66,62.11,0.76
(주)쎌바이오텍,049960,2012/12,17.21,23.85,28.62,170.47,0.69
(주)쏠리드,050890,2012/12,141.02,3.55,14.81,-0.91,0.91
(주)씨씨에스충북방송,066790,2012/12,4.85,2.67,10.04,9.43,0.35
(주)씨에스,065770,2012/12,30.67,-13.12,4.44,-7.87,0.73
(주)씨에스에이코스믹,083660,2012/12,-5.69,-26.07,-3.85,-5.42,1.16
(주)씨엔플러스,115530,2012/12,0.77,4.46,22.09,33.87,0.87
(주)씨유메디칼시스템,115480,2012/12,-9.52,12.6,21.14,-13.86,0.48
(주)씨제이이엔엠,035760,2012/12,20.41,11.38,16.98,15.37,1.13
(주)씨젠,096530,2012/12,31.25,17.6,26.88,1.01,0.64
(주)씨티씨바이오,060590,2012/12,38.54,6.78,21.13,1.51,0.98
(주)씨티프라퍼티,052300,2012/12,-38.76,-47.31,-18.6,-0.79,0.58
(주)아가방앤컴퍼니,013990,2012/12,-2.67,1.07,10.89,6.77,0.92
(주)아나패스,123860,2012/12,-2.52,17.21,22.92,282.21,1.09
(주)아난티,025980,2012/12,31.03,-9.26,3.48,-4.76,0.12
(주)아리온테크놀로지,058220,2012/12,50.92,5.5,13.78,13.97,1.51
(주)아모텍,052710,2012/12,93.06,6.32,21.46,7.54,0.67
