회사명,거래소코드,회계년도,매출액증가율(IFRS),매출액순이익률(IFRS),총자본투자효율(IFRS),CASH FLOW 대 부채비율(IFRS),총자본회전률(IFRS)
우리바이오(주),082850,2012/12,-79.45,-60,-17.08,444.57,0.2
우리산업홀딩스(주),072470,2012/12,15.33,1.53,21.57,0.48,1.31
우리엔터프라이즈(주),037400,2012/12,-14.91,3.9,3.24,6.07,0.24
우림피티에스(주),101170,2012/12,-24.7,9.73,17.14,67.34,0.56
우수AMS(주),066590,2012/12,-1.59,0.36,12.78,1.59,1.33
우원개발(주),046940,2012/12,34.53,0.76,46.44,-3.46,1.57
우진비앤지(주),018620,2012/12,17.79,6,26.31,18.72,0.82
원풍물산(주),008290,2012/12,3.23,0.98,11.8,-0.24,0.9
웰킵스하이텍(주),043590,2012/12,-14.92,4.01,26.57,22.7,1.1
위즈코프(주),038620,2012/12,-7.48,5.36,4.75,-38.29,0.31
유니셈(주),036200,2012/12,-2.81,1.34,18.82,5.34,0.83
유니슨(주),018000,2012/12,68.73,2.12,8.62,-5.89,0.34
유비벨록스(주),089850,2012/12,-11.14,8.25,26.55,20.69,0.85
유아이엘(주),049520,2012/12,18.53,7.8,19.82,-5.54,0.73
유진기업(주),023410,2012/12,-6.52,4.38,18.07,-5.18,0.4
이니텍(주),053350,2012/12,28.26,6.19,19.79,28.45,0.51
이스트아시아홀딩스인베스트먼트리미티드,900110,2012/12,,,,,
이엠코리아(주),095190,2012/12,7.47,4.47,18.86,8.37,0.68
이원컴포텍(주),088290,2012/12,-9.69,0.24,25.52,22.13,1.17
이트론(주),096040,2012/12,-43.01,-42.28,10.6,-58.4,0.18
이화공영(주),001840,2012/12,46.18,1,17.49,3.58,1.92
이화전기공업(주),024810,2012/12,-26.17,-28.13,1.23,3.95,0.44
인베니아(주),079950,2012/12,-80.62,-89.63,-4.09,-10.28,0.25
인선이엔티(주),060150,2012/12,-0.34,-7.46,5.95,8.25,0.29
인탑스(주),049070,2012/12,35.55,7.32,12.35,9.86,1.37
인포뱅크(주),039290,2012/12,25.02,18.8,36.45,24.79,1.28
인화정공(주),101930,2012/12,-19.74,7.5,8.56,16.78,0.39
재영솔루텍(주),049630,2012/12,9.37,-11.15,6.72,2.08,0.69
제룡산업(주),147830,2012/12,0,9.9,22.67,36.84,0.88
제룡전기(주),033100,2012/12,26.14,2.08,17.59,3.43,0.93
제이더블유신약(주),067290,2012/12,-1.21,3.69,22.37,2.95,0.68
제이스코홀딩스(주),023440,2012/12,6.74,-10.24,0.44,-6.76,0.08
제이씨케미칼(주),137950,2012/12,-17.44,2.84,11.17,39.95,1.45
제이씨현시스템(주),033320,2012/12,-6.57,-1.58,9.27,1.07,1.59
제이엔케이히터(주),126880,2012/12,8.62,7.8,11.45,-26.51,0.83
제이엠아이(주),033050,2012/12,-18.4,-91.12,-20.39,-12.35,0.25
제이엠티(주),094970,2012/12,61.95,-0.2,24.03,21.65,1.93
조광아이엘아이(주),044060,2012/12,24.73,-2.61,14.84,18.66,0.54
조아제약(주),034940,2012/12,5.42,3.14,24.88,18.78,0.65
주성엔지니어링(주),036930,2012/12,-74.79,-149.14,-14.08,-13.21,0.17
지더블유바이텍(주),036180,2012/12,-2.73,-14.83,11.96,-13.59,0.85
진양제약(주),007370,2012/12,2.43,6.8,22.27,40.69,0.54
참좋은여행(주),094850,2012/12,13.05,14.15,28.03,3.21,0.76
케이비아이메탈(주),024840,2012/12,21.53,-0.65,11.52,-8.31,3.39
케이에이치전자(주),111870,2012/12,-7.27,9.66,15.51,55.7,0.82
코나아이(주),052400,2012/12,6.65,12.64,22.3,45.83,0.83
코리아에프티(주),123410,2012/12,0,3.14,20.13,3.36,1.07
코오롱생명과학(주),102940,2012/12,20.53,13.38,22.32,20.46,0.83
코웰패션(주),033290,2012/12,5.34,2.14,9.03,-5.78,0.32
코위버(주),056360,2012/12,-1.01,4.67,11.19,88.71,0.67
퀀타피아(주),078940,2012/12,-32.79,-28.44,-0.56,31.87,0.36
큐렉소(주),060280,2012/12,206.81,-31.52,-7.71,-706.07,0.37
크루셜텍(주),114120,2012/12,-48.9,-6.47,1,-6.68,0.7
키네마스터(주),139670,2012/12,27.19,25.44,19.85,93.91,0.75
테라사이언스(주),073640,2012/12,-13.26,5.19,8.42,-2.4,0.33
티제이미디어(주),032540,2012/12,25.12,4.68,14.82,10.75,0.76
티케이지애강(주),022220,2012/12,-36.45,6.22,11.91,-0.43,0.94
팅크웨어(주),084730,2012/12,-6.78,2.64,23.19,0.64,1.18
파나케이아(주),058530,2012/12,3.57,-19.1,3.83,2.06,0.52
풍국주정공업(주),023900,2012/12,4.21,6.52,10.41,54.42,0.55
피에스케이홀딩스(주),031980,2012/12,-19.1,13.01,11.78,101.6,0.49
피에스텍(주),002230,2012/12,-33.74,1.47,6.25,8.33,0.32
피에이치에이(주),043370,2012/12,15.11,5.11,22.35,18.17,1.21
하나마이크론(주),067310,2012/12,-12.34,-2.43,22.78,14.54,0.83
하이록코리아(주),013030,2012/12,29.47,15.37,27.25,22.1,0.8
한국기업평가(주),034950,2012/09,14.37,25.27,15.7,53.36,0.55
한국선재(주),025550,2012/12,-15.45,2.75,15.09,18.51,1.18
한국알콜산업(주),017890,2012/12,1.9,3.3,10.8,29.24,0.85
한국전자금융(주),063570,2012/12,5.5,2.95,5.55,40.35,1.05
한국전자인증(주),041460,2012/12,15.56,20.39,13.47,50.89,0.66
한국정밀기계(주),101680,2012/12,-31.92,2.23,10.36,-9.38,0.46
한국정보공학(주),039740,2012/12,2.81,-0.85,4.91,2.77,1.65
한국정보통신(주),025770,2012/12,16.77,5.13,33.46,43.38,1.47
한국컴퓨터(주),054040,2012/12,26.86,1.22,20.2,47.36,3.98
한라아이엠에스(주),092460,2012/12,-2.8,9,13.34,21.88,0.58
한솔인티큐브(주),070590,2012/12,-11.48,-4.53,34.8,-16.46,1.32
한양디지텍(주),078350,2012/12,-10.53,-4.13,1.48,-7.24,1.33
한양이엔지(주),045100,2012/12,-22.22,1.99,27.52,9.36,1.48
한일단조공업(주),024740,2012/12,7.37,-0.64,8.62,-0.34,0.7
한일사료(주),005860,2012/12,15.46,1.94,12.16,-2.71,1.44
한일화학공업(주),007770,2012/12,-15.92,1.19,7.55,16.58,0.81
한창산업(주),079170,2012/12,-6.62,0.61,8.68,2.53,0.98
해성산업(주),034810,2012/12,1.47,30.85,3.01,22.31,0.09
현대바이오사이언스(주),048410,2012/12,-24.47,-22.71,3.13,-6.36,0.87
현대에이치티(주),039010,2012/12,-8.86,-0.17,11.23,-11.55,1.01
현우산업(주),092300,2012/12,-4.3,1.41,21.27,14.95,0.85
화성밸브(주),039610,2012/03,7.85,8.58,23.71,21.58,1.12
화일약품(주),061250,2012/12,17.45,5.58,12.61,15.53,0.87
휴림로봇(주),090710,2012/12,-37.98,-14.38,9.68,-13.39,0.59
흥구석유(주),024060,2012/12,4.39,0.53,8.49,29.39,3.63
