회사명,거래소코드,회계년도,매출액증가율(IFRS),총자본증가율(IFRS),매출액순이익률(IFRS),총자본정상영업이익률(IFRS),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 총자본비율(IFRS),총자본회전률(IFRS),자기자본회전률(IFRS),총자본투자효율(IFRS),설비투자효율(IFRS)
(주)쇼박스,086980,2011/12,80.78,-2.4,-21.39,-8.09,-74.06,-15.84,0.35,0.44,21.12,8446.66
(주)쇼박스,086980,2012/12,79.68,36.63,-5.61,5.95,18.17,8.22,0.54,0.83,23.75,18372.32
(주)쇼박스,086980,2013/12,21.47,-10.29,2.2,3.04,37.32,13.95,0.6,1.03,36.81,37353.29
(주)쇼박스,086980,2014/12,-32.61,-16.06,-2.35,1.17,-45.9,-12.03,0.46,0.69,35.67,25043.16
(주)쇼박스,086980,2015/12,96.44,51.56,8.26,8.11,21.02,9.65,0.8,1.28,43.23,5312.32
(주)수성샐바시온,084180,2010/12,14.48,-4.2,-78.73,-53.79,9.34,6.42,0.54,1.04,-50.16,-105.39
(주)수성샐바시온,084180,2011/12,6.79,-8.09,12.86,12.13,14.59,8.42,0.62,1.69,18.67,36.46
(주)수성샐바시온,084180,2012/12,-14.43,-7.64,7.35,4.22,15.56,7.85,0.57,1.25,13.53,24.59
(주)수성샐바시온,084180,2013/12,25.04,2.16,6.25,5.98,19.26,9.25,0.74,1.45,15.15,28.6
(주)수성샐바시온,084180,2014/12,-4.14,-0.31,7.28,6.54,9.54,4.32,0.7,1.32,15.34,29.17
(주)수성샐바시온,084180,2015/12,4.43,-10.01,5.96,7.7,12.81,4.74,0.77,1.32,16.8,28.92
(주)슈프리마에이치큐,094840,2010/12,19.11,11.14,28.66,8.55,104.25,6.86,0.35,0.37,11.3,180.91
(주)슈프리마에이치큐,094840,2011/12,21.87,2.91,14.82,4.2,62.73,4.66,0.39,0.42,7.43,107.68
(주)슈프리마에이치큐,094840,2012/12,24.51,12.98,29.6,14.24,147.64,8.79,0.46,0.49,16.24,230.44
(주)슈프리마에이치큐,094840,2013/12,0.41,12.15,25.83,11.87,195.01,12.07,0.41,0.43,12.79,133.87
(주)슈프리마에이치큐,094840,2014/12,26.19,11.09,21.64,12.1,216.72,12.68,0.46,0.49,14.15,146.76
(주)슈프리마에이치큐,094840,2015/12,-62.16,-44.66,49.06,-0.13,385.47,27.21,0.21,0.23,4.65,52.12
(주)슈피겐코리아,192440,2014/12,93.67,226.12,34.32,46.44,178.47,15.58,1.21,1.33,37.04,1236.46
(주)슈피겐코리아,192440,2015/12,-2.13,22.89,35.13,27.48,308.7,21.95,0.7,0.76,31.21,1029.95
(주)스마트솔루션즈,136510,2011/12,23.96,55.18,29.46,18.03,59.07,2.1,0.57,0.63,25.01,294.11
(주)스마트솔루션즈,136510,2012/12,-65.95,-6.48,-29.13,-6.67,-86.99,-3.25,0.16,0.17,7.51,84.26
(주)스마트솔루션즈,136510,2013/12,181.7,7.85,10.4,5.79,40.22,1.96,0.46,0.48,18.69,179.86
(주)스마트솔루션즈,136510,2014/12,-31.37,-7.59,-3.81,-2.82,117.76,4.71,0.32,0.33,13.33,122.13
(주)스마트솔루션즈,136510,2015/12,4.96,-2.39,6.3,1.55,177.26,9.28,0.35,0.37,14.16,132.16
(주)스맥,099440,2010/12,586.16,220.6,5.46,9.11,4,2.88,1.39,3.42,13.39,102.37
(주)스맥,099440,2011/12,66.64,42.76,2.94,4.74,1.3,0.81,1.25,3.72,14.76,132.46
(주)스맥,099440,2012/12,8,13.5,1.13,5.46,-5.94,-3.8,1.08,2.92,15.03,65.27
(주)스맥,099440,2013/12,-4.64,28.41,3.86,4.01,-7.69,-4.94,0.85,2.35,14.51,55.54
(주)스맥,099440,2014/12,9.09,15.19,1.89,3.28,0.29,0.17,0.76,1.96,11.37,45.4
(주)스맥,099440,2015/12,-12.63,-10.31,2.76,2.31,-0.19,-0.1,0.66,1.47,13.82,48.41
(주)스카이문스테크놀로지,033790,2010/12,20.31,18.14,5.95,4.23,-3.82,-0.61,1.11,1.28,12.23,146.93
(주)스카이문스테크놀로지,033790,2011/12,-17.6,-6.31,0.74,-2.18,80.02,8.2,0.87,1.01,5.7,65.37
(주)스카이문스테크놀로지,033790,2012/12,-46.79,-7.79,-16.35,-10.74,6.42,0.69,0.5,0.56,-3.43,-35.08
(주)스카이문스테크놀로지,033790,2013/12,-32.53,-4.18,-12.47,-6.66,-7.8,-0.81,0.36,0.4,1.25,7.18
(주)스카이문스테크놀로지,033790,2014/12,121.57,13.29,5.87,3.18,1.64,0.28,0.76,0.89,8.66,57.94
(주)스카이문스테크놀로지,033790,2015/12,9.91,3.66,0.36,-1.15,40.34,7.9,0.77,0.95,4.66,10.6
(주)스킨앤스킨,159910,2012/12,0,0,28.18,12.75,66.37,17.66,0.47,0.64,21.96,84.07
(주)스킨앤스킨,159910,2013/12,-49.36,-2.79,-18.93,-7.67,31.57,8.66,0.24,0.33,1.35,1.87
(주)스킨앤스킨,159910,2014/12,-13.78,2.3,-70.58,-12.26,-9.31,-4,0.21,0.32,-3.94,-5.48
(주)스킨앤스킨,159910,2015/12,48.4,17.51,-110.13,-11.69,-22.7,-12.33,0.28,0.55,-8.91,-16.88
(주)스타플렉스,115570,2010/12,6.34,118,9.62,11.47,26.18,10.73,0.86,1.43,15.49,47.3
(주)스타플렉스,115570,2011/12,8.37,17.97,9.25,7.25,15.46,6.94,0.62,1.09,14.99,55.31
(주)스타플렉스,115570,2012/12,19.39,-6.07,-7.75,11.93,16.01,7.58,0.71,1.31,2.44,8.52
(주)스타플렉스,115570,2013/12,-13.22,13.09,3.96,5.88,11.97,6.16,0.6,1.18,13.07,49.92
(주)스타플렉스,115570,2014/12,-2.8,-4.1,1.3,4.45,6.73,3.25,0.56,1.11,10.85,37.03
(주)스타플렉스,115570,2015/12,-9.84,-7.24,-7.34,5.81,9.78,4.64,0.53,1.02,5.6,16.78
(주)스톰이앤에프,043680,2010/12,-30.18,-57.52,-214.29,-16.33,-9.58,-12.53,0.61,0,-217.87,-2619.83
(주)스튜디오산타클로스엔터테인먼트,204630,2014/12,,,,,,,,,,
(주)스튜디오산타클로스엔터테인먼트,204630,2015/12,0,0,-32.86,4.78,-64.41,-12.39,0.87,1.07,-20.91,-149.88
