,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
222,(주)씨엠에스에듀,225330,2017-12-01,2016-04-07,2022-03-17,4,  교육 서비스업,9.96,-28.24,21.18,-20.78,21.57,17.46,14.22,45.38,0.0,9.34,14.95,11.66,8.86,3462.47,325.0,79.7,77.06,20.46,-4.91,63.62,24.49,132.1,19.26,61.12,463.75,0.95,1.6,1.23,155.65,27.83,0.0,0.0,2.35,13.11,0.06,0.01,1.91,2.31,4.16,4.27,28023.74,39.66,121.31,419.82,43.79,40.39,59.61,21.32,,12,2016,2017,1
223,(주)씨엠에스에듀,225330,2018-12-01,2016-04-07,2022-03-17,4,  교육 서비스업,29.6,118.52,41.72,-21.22,49.88,-3.63,9.6,-12.63,0.0,7.44,12.31,9.46,6.44,3734.92,282.0,26.1,24.45,4.36,-33.16,120.04,17.17,194.28,11.71,45.45,439.12,0.86,1.65,1.02,124.43,28.93,0.0,0.0,2.93,12.61,0.06,0.01,1.7,1.91,5.77,6.05,31272.05,34.15,93.22,447.73,44.58,44.71,55.29,16.69,,12,2016,2018,2
224,(주)씨엠에스에듀,225330,2019-12-01,2016-04-07,2022-03-17,4,  교육 서비스업,11.72,16.04,11.49,13.41,5.17,-6.91,17.07,17.64,0.0,7.48,15.29,10.31,6.34,4389.27,330.0,25.52,24.02,8.67,-34.7,164.07,8.72,232.68,11.89,37.87,408.78,0.85,2.04,0.96,118.37,36.66,0.0,0.0,3.08,9.96,0.08,0.01,1.47,1.51,7.18,7.64,37365.17,36.53,65.75,412.03,45.5,43.71,56.29,16.44,,12,2016,2019,3
225,(주)씨엠에스에듀,225330,2020-12-01,2016-04-07,2022-03-17,4,  교육 서비스업,-1.43,-5.37,-6.11,33.28,-4.74,10.0,2.69,1.02,0.0,7.36,15.25,7.33,6.11,4525.41,333.0,38.2,36.6,14.02,-26.0,136.62,8.18,198.59,16.07,42.26,449.66,0.83,2.07,0.97,121.45,37.6,0.0,0.0,3.01,9.71,0.08,0.01,1.42,1.48,5.95,6.25,39297.35,38.97,73.12,615.16,46.6,45.76,54.24,15.79,,12,2016,2020,4
226,(주)씨유전자,56340,2011-12-01,2002-11-08,2014-05-21,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-22.61,-17.3,103.91,-74.15,-46.62,-7.33,-29.64,0.0,6.79,-8.86,-10.75,-2.07,-6.16,1409.89,-126.0,69.88,52.5,3.66,-10.23,58.26,-1.21,120.7,23.73,63.19,223.5,0.7,1.21,1.4,9.4,7.11,7.92,46.08,38.83,51.33,0.02,0.12,0.79,2.59,1.38,1.62,8591.3,9.43,34.31,84.38,11.82,85.75,14.25,-74.93,,12,2002,2011,9
227,(주)씨유전자,56340,2012-12-01,2002-11-08,2014-05-21,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-26.36,-39.85,-32.43,-6.87,-77.38,-30.13,-37.78,0.0,-1.85,-37.56,-34.72,-7.15,-21.46,876.1,-330.21,79.04,74.26,3.85,-7.96,66.79,-5.26,116.72,30.02,59.96,153.18,0.57,0.92,0.78,13.71,7.23,6.42,56.81,26.63,50.49,0.05,0.07,0.92,2.22,2.16,2.57,-7762.45,-11.57,-50.75,-239.69,-17.17,0.0,0.0,0.0,,12,2002,2012,10
228,(주)씨유전자,56340,2013-12-01,2002-11-08,2014-05-21,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-51.23,-59.22,-39.08,-79.55,-51.36,-56.95,-76.23,0.0,14.84,-233.01,-87.01,-9.57,-50.16,204.56,-478.0,31.59,27.05,3.36,-27.26,88.98,-5.19,165.19,12.59,52.92,65.94,0.22,0.37,0.28,11.88,2.35,1.95,186.98,30.71,155.41,0.0,0.08,0.34,1.0,0.89,0.96,-21356.74,-65.25,-342.18,-1646.09,-198.72,0.0,0.0,0.0,,12,2002,2013,11
229,(주)씨티앤티,50470,2011-12-01,2002-04-23,2012-05-01,4,  자동차 및 트레일러 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2002,2011,9
230,(주)아라온테크,41060,2011-12-01,2000-06-07,2014-05-08,4,  기타 기계 및 장비 제조업,-80.89,-68.88,-91.31,0.85,0.0,-79.85,-2.19,0.0,8.09,-623.12,-143.78,-80.59,-110.17,446.59,-3403.0,304.41,304.41,40.06,40.07,24.98,-68.88,50.4,59.67,80.01,129.7,0.18,0.24,0.22,18.94,2.54,6.38,57.24,19.27,143.79,0.01,0.07,0.51,8.94,0.93,0.98,-38716.03,-301.03,-10283.29,-128343.27,-546.31,0.0,0.0,0.0,,12,2000,2011,11
231,(주)아라온테크,41060,2012-12-01,2000-06-07,2014-05-08,4,  기타 기계 및 장비 제조업,-2.56,-87.07,-67.79,41.51,0.0,-18.9,248.47,0.0,13.41,-35.85,-95.01,7.9,-69.73,1096.26,-427.0,263.46,263.46,17.2,53.77,50.16,10.82,20.02,86.67,66.6,74.09,1.95,2.65,7.2,0.0,7.53,37.49,9.74,0.0,48.49,0.03,0.0,1.96,116.17,2.66,2.66,-6789.73,-54.18,-13948.33,0.0,-27.49,0.0,0.0,0.0,,12,2000,2012,12
