회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)비엔씨컴퍼니,58370,12-Dec,2002-02-19,2017-05-08,4,,,,,,,,,,
(주)비엔씨컴퍼니,58370,13-Dec,2002-02-19,2017-05-08,4,0.0,0.0,-32.92,-97.48,-21.16,-1793.22,35.0,76.29,1.04,2.96
(주)비엔씨컴퍼니,58370,14-Dec,2002-02-19,2017-05-08,4,-34.57,0.0,-44.25,-54.85,-19.55,-4747.52,66.52,163.24,0.64,1.24
(주)비엔씨컴퍼니,58370,15-Dec,2002-02-19,2017-05-08,4,40.72,0.0,-73.5,-82.62,-35.01,-1191.56,54.77,118.0,0.67,1.12
(주)비엔씨컴퍼니,58370,16-Dec,2002-02-19,2017-05-08,4,-25.68,0.0,-78.29,-48.71,-21.51,-1045.35,72.27,344.79,0.4,0.62
(주)비엔에프코퍼레이션,271780,16-Dec,2018-11-30,2020-11-05,4,,,,,,,,,,
(주)비엔에프코퍼레이션,271780,17-Dec,2018-11-30,2020-11-05,4,,,,,,,,,,
(주)비엔에프코퍼레이션,271780,18-Dec,2018-11-30,2020-11-05,4,,,,,,,,,,
(주)비엔에프코퍼레이션,271780,19-Dec,2018-11-30,2020-11-05,4,,,,,,,,,,
(주)삼우이엠씨,26250,11-Dec,1995-11-04,2013-04-12,4,-19.04,0.0,-20.7,-56.95,40.83,243.97,22.4,88.82,0.83,2.75
(주)삼우이엠씨,26250,12-Dec,1995-11-04,2013-04-12,4,-60.44,0.0,-141.87,-101015.66,-93.93,-349.56,0.0,32.83,0.44,0.0
(주)세기리텍,199870,11-Dec,2015-12-24,2018-03-28,4,,,,,,,,,,
(주)세기리텍,199870,12-Dec,2015-12-24,2018-03-28,4,,,,,,,,,,
(주)세기리텍,199870,13-Dec,2015-12-24,2018-03-28,4,,,,,,,,,,
(주)세기리텍,199870,14-Dec,2015-12-24,2018-03-28,4,,,,,,,,,,
(주)세기리텍,199870,15-Dec,2015-12-24,2018-03-28,4,,,,,,,,,,
(주)세기리텍,199870,16-Dec,2015-12-24,2018-03-28,4,,,,,,,,,,
(주)세화피앤씨,85980,11-Dec,2013-09-25,2017-09-19,4,,,,,,,,,,
(주)세화피앤씨,85980,12-Dec,2013-09-25,2017-09-19,4,,,,,,,,,,
(주)세화피앤씨,85980,13-Dec,2013-09-25,2017-09-19,4,,,,,,,,,,
(주)세화피앤씨,85980,14-Dec,2013-09-25,2017-09-19,4,,,,,,,,,,
(주)세화피앤씨,85980,15-Dec,2013-09-25,2017-09-19,4,,,,,,,,,,
(주)세화피앤씨,85980,16-Dec,2013-09-25,2017-09-19,4,,,,,,,,,,
(주)셀트리온,68270,11-Dec,2005-07-15,2018-02-09,4,0.0,0.0,60.14,18.65,16.67,31.07,63.92,73.82,0.2,0.31
(주)셀트리온,68270,12-Dec,2005-07-15,2018-02-09,4,0.0,0.0,49.81,16.61,16.82,39.46,60.6,138.57,0.2,0.33
(주)셀트리온,68270,13-Dec,2005-07-15,2018-02-09,4,-35.41,-41.26,45.29,9.59,11.87,32.95,54.95,110.79,0.12,0.21
(주)셀트리온,68270,14-Dec,2005-07-15,2018-02-09,4,108.24,9.98,24.94,9.65,14.33,40.23,58.03,160.55,0.22,0.39
(주)셀트리온,68270,15-Dec,2005-07-15,2018-02-09,4,28.1,36.75,26.23,10.48,13.0,40.85,65.85,164.75,0.24,0.38
(주)셀트리온,68270,16-Dec,2005-07-15,2018-02-09,4,11.13,15.51,26.91,9.5,14.36,50.24,72.77,205.5,0.23,0.33
(주)솔트웍스,222520,13-Dec,2015-07-08,2016-12-05,4,,,,,,,,,,
(주)솔트웍스,222520,14-Dec,2015-07-08,2016-12-05,4,,,,,,,,,,
(주)솔트웍스,222520,15-Dec,2015-07-08,2016-12-05,4,,,,,,,,,,
(주)스틸플라워,87220,11-Dec,2009-10-27,2018-05-08,4,47.23,0.0,2.28,6.27,10.3,30.94,36.09,118.19,1.02,2.69
(주)스틸플라워,87220,12-Dec,2009-10-27,2018-05-08,4,4.32,6.17,2.07,5.79,10.67,30.99,36.06,122.94,0.88,2.44
(주)스틸플라워,87220,13-Dec,2009-10-27,2018-05-08,4,-44.94,0.0,-7.26,-9.6,3.97,9.88,33.38,110.03,0.48,1.39
(주)스틸플라워,87220,14-Dec,2009-10-27,2018-05-08,4,23.46,0.0,-13.51,-24.85,-0.79,-1.65,30.53,74.73,0.62,1.95
(주)스틸플라워,87220,15-Dec,2009-10-27,2018-05-08,4,-31.26,0.0,-25.59,-38.72,-1.47,-2.56,30.5,54.74,0.48,1.57
(주)스틸플라워,87220,16-Dec,2009-10-27,2018-05-08,4,-32.57,0.0,-52.13,-63.94,-9.64,-17.26,27.39,50.24,0.38,1.3
(주)스틸플라워,87220,17-Dec,2009-10-27,2018-05-08,4,-43.68,0.0,-89.03,-109.41,-14.42,-19.6,9.5,21.55,0.26,1.33
(주)스페이스솔루션,245030,14-Dec,2016-06-03,2019-02-27,4,,,,,,,,,,
(주)스페이스솔루션,245030,15-Dec,2016-06-03,2019-02-27,4,,,,,,,,,,
(주)스페이스솔루션,245030,16-Dec,2016-06-03,2019-02-27,4,,,,,,,,,,
