,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]유동비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]순이익증가율(IFRS연결),상장폐지사유,회계월,상장년도,회계년,연차
48,(주)데코앤이,17680,2017-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",-15.44,-67.27,-45.45,117.38,51.46,0.86,1.48,-17.86,-624.98,0.0,,12,1993,2017,24
49,(주)데코앤이,17680,2018-12-01,1993-09-03,2019-11-20,4,"  의복, 의복 액세서리 및 모피제품 제조업",10.19,-35.94,-20.49,130.31,45.14,0.84,1.75,10.02,426.95,0.0,,12,1993,2018,25
50,(주)드림티엔터테인먼트,220110,2016-12-01,2015-06-24,2020-04-10,4,"  기타 전문, 과학 및 기술 서비스업",12.98,-19.55,-2.99,117.96,48.42,0.95,4.0,21.36,570.08,0.0,,12,2015,2016,1
51,(주)드림티엔터테인먼트,220110,2017-12-01,2015-06-24,2020-04-10,4,"  기타 전문, 과학 및 기술 서비스업",52.1,9.56,3.85,113.84,29.09,1.53,4.24,21.24,890.15,0.0,,12,2015,2017,2
52,(주)드림티엔터테인먼트,220110,2018-12-01,2015-06-24,2020-04-10,4,"  기타 전문, 과학 및 기술 서비스업",-42.33,-189.23,-39.94,69.71,14.62,1.22,4.46,-96.26,-937.92,-1178.26,,12,2015,2018,3
53,(주)드림티엔터테인먼트,220110,2019-12-01,2015-06-24,2020-04-10,4,"  기타 전문, 과학 및 기술 서비스업",,,,,,,,,,,,12,2015,2019,4
54,(주)디아이디,74130,2011-12-01,2005-07-27,2015-07-23,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",33.63,-36.02,-2.43,75.21,17.1,2.69,11.9,5.83,12.52,0.0,,12,2005,2011,6
55,(주)디아이디,74130,2012-12-01,2005-07-27,2015-07-23,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",6.39,26.82,1.74,82.26,23.53,2.33,11.42,19.83,47.45,0.0,,12,2005,2012,7
56,(주)디아이디,74130,2013-12-01,2005-07-27,2015-07-23,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-13.02,-119.38,-6.72,101.09,14.15,2.3,11.69,15.52,115.04,0.0,,12,2005,2013,8
57,(주)디아이디,74130,2014-12-01,2005-07-27,2015-07-23,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-73.35,-95.83,-6.02,60.71,7.99,1.01,8.3,38.35,109.18,0.0,,12,2005,2014,9
58,(주)디에스,51710,2011-12-01,2004-06-18,2013-05-01,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-41.54,-131.56,-4.95,51.99,9.45,2.24,21.89,5.27,12.61,0.0,,12,2004,2011,7
59,(주)디에스,51710,2012-12-01,2004-06-18,2013-05-01,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2004,2012,8
60,(주)디에이치패션,45260,2011-12-01,2001-11-08,2012-08-01,4,  도매 및 상품 중개업,-20.44,-28.38,-183.56,2170.05,95.06,0.12,0.15,-13.0,-32.42,0.0,,12,2001,2011,10
61,(주)디지텍시스템스,91690,2011-12-01,2007-07-04,2015-01-21,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",1.36,4.31,3.57,290.63,62.59,0.84,1.25,13.41,45.53,-74.16,,12,2007,2011,4
62,(주)디지텍시스템스,91690,2012-12-01,2007-07-04,2015-01-21,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2007,2012,5
63,(주)디지텍시스템스,91690,2013-12-01,2007-07-04,2015-01-21,4,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,,,,12,2007,2013,6
