회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]총자본증가율(IFRS연결),[제조]유형자산증가율(IFRS연결),[제조]비유동자산증가율(IFRS연결),[제조]유동자산증가율(IFRS연결),[제조]재고자산증가율(IFRS연결),[제조]자기자본증가율(IFRS연결),[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액총이익률(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본사업이익률(IFRS연결)(원),[제조]총자본순이익률(IFRS연결)(원),[제조]1주당매출액(IFRS연결),[제조]1주당순이익(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]순운전자본비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]비유동비율(IFRS연결),[제조]유동자산구성비율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]자기자본배율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결),[제조]비유동자산회전률(IFRS연결),[제조]재고자산회전률(IFRS연결),[제조]매출채권회전률(IFRS연결),[제조]매입채무회전률(IFRS연결),[제조]매입채무회전기간(IFRS연결),[제조]재고자산회전기간(IFRS연결),[제조]매출채권회전기간(IFRS연결),[제조]1회전기간(IFRS연결),[제조]운전자본회전률(IFRS연결),[제조]순운전자본회전률(IFRS연결),[제조]유형자산회전율(IFRS연결)(백만원),[제조]유동자산회전률(IFRS연결),[제조]당좌자산회전률(IFRS연결),[제조]부가가치(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]기계투자효율(IFRS연결),[제조]부가가치율(IFRS연결),[제조]노동소득분배율(IFRS연결),[제조]자본분배율(IFRS연결),[제조]이윤분배율(IFRS연결)
(주)아난티,025980,2013/12,1996/01/06,,5,    스포츠 서비스업,0,0,0,0,0,0,0,0,37.71,-19.53,-15.07,-0.46,-1.69,1888.81,-369,137.36,116.39,17.18,7.12,791.92,-0.66,658.36,26.19,11.21,489.77,0.09,0.77,0.12,2.16,2.64,96.46,3.78,168.74,138.34,0,0,0.19,0.12,0.33,0.39,6466.59,2.69,3.81,4276.42,31.15,94.2,5.8,-62.71
(주)아리온테크놀로지,058220,2011/12,2005/08/05,,6,    통신 및 방송 장비 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아리온테크놀로지,058220,2012/12,2005/08/05,,6,    통신 및 방송 장비 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아리온테크놀로지,058220,2013/12,2005/08/05,,6,    통신 및 방송 장비 제조업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)아모텍,052710,2011/12,2003/08/01,,5,    반도체 제조업,13.49,14.57,16.4,6.33,44.21,-4.03,4.29,0,25.27,-4.41,-3.99,0.2,-1.93,10105.03,-473,73.13,41.19,4.45,-9.94,124.49,0.02,163.76,27.05,44.55,2185.9,0.44,0.91,0.61,4.12,4.93,18.88,19.33,88.63,74.05,0.01,0,0.69,0.83,1.57,2.54,34698.2,14.6,28.75,77.04,35.46,77.12,22.88,-12.44
(주)아모텍,052710,2012/12,2003/08/01,,5,    전자부품 제조업,24.55,11.1,9.65,64.73,39.72,7.15,91.53,0,24.14,4.91,8.39,6.27,3.45,19354.03,1008,73.85,46.5,11.23,-12.67,160.94,2.67,167.58,35.78,38.32,2342.14,0.7,1.71,1.03,5.57,6.03,12.41,29.41,65.51,60.49,0.01,0,0.93,1.41,2.2,3.64,62884.72,21.25,46.48,106.37,33.55,57.83,42.17,14.63
(주)아모텍,052710,2013/12,2003/08/01,,5,    전자부품 제조업,2.71,11.24,7.12,-5.19,-25.8,16.25,32.32,21.55,23.3,4.51,9.12,7.59,3.73,25459.18,1185,84.29,59.86,14.62,-6.16,130.57,3.52,154.42,33.02,43.37,2706.03,0.83,2.02,1.26,7.26,6.52,13.98,26.11,50.27,55.96,0.01,0,1.06,1.68,2.4,3.6,87404.35,28.76,57.71,124.24,35.24,58.36,41.64,12.8
(주)아미노로직스,074430,2011/12,2004/06/04,,5,    반도체 제조업,0,0,0,0,0,0,0,0,-7.75,-53.32,-16.79,-10.87,-12.31,379.64,-218,225.11,187.14,23.89,31.7,37.37,-10.38,59.02,57.03,72.8,1187.09,0.23,0.32,0.54,2.4,11.04,12.53,29.13,152.07,33.05,0.01,1.1,0.28,2.51,0.4,0.49,1097.06,1.3,19.79,65.2,5.64,972.3,-872.3,-944.57
(주)아미노로직스,074430,2012/12,2004/06/04,,5,    반도체 제조업,-37.39,-85.56,-33.57,-40.26,17.65,-48.25,-53.05,0,-37.95,-328.58,-59.77,-14.67,-43.81,178.24,-538,142,94.82,5.51,16.09,67.29,-7.14,76.26,54.41,59.77,614.35,0.13,0.2,0.3,1.04,4.77,5.84,62.54,352.49,76.47,0,0,0.15,2.06,0.24,0.31,-29605.27,-56.18,-2643.5,-2938,-324.44,0,0,0
(주)아미노로직스,074430,2013/12,2004/06/04,,5,    반도체 제조업,-8.53,-28.53,2.19,-17.52,-0.89,28.53,-64.1,0,4.91,-423.54,-38.29,-11.88,-27.5,54.46,-230,347.86,209.01,178.06,34.96,19.25,-9.36,60.73,49.07,83.86,551.85,0.06,0.09,0.13,0.35,1.9,3.6,101.45,1056.77,191.73,0,0,0.08,3.41,0.13,0.2,-11803.14,-24.49,-1474.61,-1540.18,-360.32,0,0,0
