,회사명,거래소코드,회계년도,총자본순이익률,매출액증가율,자기자본순이익률,매출액순이익률,유동비율,자기자본구성비율,총자본회전률,자기자본회전률,총자본투자효율,설비투자효율,순이익증가율,label
57,(주)골드앤에스,35290,2011-12-01,2.19,-5.87,4.57,2.11,108.02,48.07,1.04,2.16,33.36,1514.88,0.0,0.0
58,(주)골드앤에스,35290,2012-12-01,-13.11,-7.65,-26.93,-14.74,128.81,49.12,0.89,1.83,14.7,772.83,0.0,0.0
59,(주)골드앤에스,35290,2013-12-01,-32.57,-9.89,-86.53,-42.57,52.99,25.52,0.77,2.05,2.67,5.83,0.0,0.0
60,(주)골드앤에스,35290,2014-12-01,-19.02,-20.89,-90.29,-29.79,60.18,25.97,0.64,2.48,8.62,17.61,0.0,0.0
61,(주)골드앤에스,35290,2015-12-01,-26.91,-29.05,-76.1,-42.81,193.43,62.9,0.63,1.63,5.71,416.13,0.0,0.0
62,(주)골드앤에스,35290,2016-12-01,1.83,-28.4,2.65,2.46,235.98,76.42,0.74,1.08,25.52,2333.26,0.0,0.0
63,(주)골드앤에스,35290,2017-12-01,-44.5,-19.45,-57.72,-62.3,338.62,77.71,0.71,0.93,-24.99,-3780.33,0.0,0.0
64,(주)골드앤에스,35290,2018-12-01,-14.69,-32.19,-32.3,-50.46,75.1,32.44,0.29,0.64,-0.73,-2.93,0.0,0.0
65,(주)골드앤에스,35290,2019-12-01,-84.97,-11.95,-572.47,-325.58,18.57,0.0,0.26,0.0,-99.2,-431.91,0.0,0.0
66,(주)골드앤에스,35290,2020-12-01,8.91,-45.85,35.13,39.52,412.25,69.78,0.23,0.0,26.68,153.16,0.0,0.0
67,(주)골드퍼시픽,38530,2011-12-01,-12.39,4.84,-24.69,-13.75,141.03,51.41,0.9,1.8,15.46,927.25,184.76,0.0
68,(주)골드퍼시픽,38530,2012-12-01,-38.28,-6.64,-90.82,-44.74,80.68,28.44,0.86,2.03,-5.68,-241.73,-74.3,0.0
69,(주)골드퍼시픽,38530,2013-12-01,-27.85,-31.68,-57.94,-130.88,155.04,48.06,0.21,0.44,-12.74,-43.41,0.0,0.0
70,(주)골드퍼시픽,38530,2014-12-01,-17.62,130.0,-48.56,-44.83,133.18,39.5,0.39,1.0,3.71,15.69,0.0,0.0
71,(주)골드퍼시픽,38530,2015-12-01,-28.97,13.04,-55.42,-54.82,349.83,74.17,0.53,0.99,-9.75,-108.01,0.0,0.0
72,(주)골드퍼시픽,38530,2016-12-01,-45.69,-48.55,-59.27,-62.98,336.56,77.11,0.73,0.94,-24.92,-3785.71,0.0,0.0
73,(주)골드퍼시픽,38530,2017-12-01,-13.61,-47.52,-30.0,-46.61,75.34,32.65,0.29,0.64,0.03,0.11,0.0,0.0
74,(주)골드퍼시픽,38530,2018-12-01,-11.82,13.45,-21.81,-78.34,196.78,53.1,0.15,0.28,-3.93,-1572.43,0.0,0.0
75,(주)골드퍼시픽,38530,2019-12-01,8.91,98.36,0.0,39.52,429.98,70.22,0.23,0.0,26.68,153.16,0.0,0.0
76,(주)골드퍼시픽,38530,2020-12-01,3.92,26.6,4.62,8.81,609.29,79.46,0.44,0.52,16.14,44.04,0.0,0.0
