회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,[제조]매출액증가율(IFRS연결),[제조]순이익증가율(IFRS연결),[제조]매출액순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]총자본투자효율(IFRS연결),[제조]설비투자효율(IFRS연결),[제조]자기자본구성비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]총자본회전률(IFRS연결),[제조]자기자본회전률(IFRS연결)
(주)강원에너지,114190,2019/12,2009/11/20,,5,  금속가공제품 제조업; 기계 및 가구 제외,-50.47,-1763.05,-83.78,-94.77,-43.28,-275.98,37.32,99.04,0.57,1.19
(주)강원에너지,114190,2020/12,2009/11/20,,5,  금속가공제품 제조업; 기계 및 가구 제외,-9.88,0.0,-33.58,-64.76,-17.29,-85.17,51.86,172.82,0.86,2.01
(주)고려시멘트,198440,2014/12,2014/08/13,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)고려시멘트,198440,2015/12,2014/08/13,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)고려시멘트,198440,2016/12,2014/08/13,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)고려시멘트,198440,2017/12,2014/08/13,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)고려시멘트,198440,2018/12,2014/08/13,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)고려시멘트,198440,2019/12,2014/08/13,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)고려시멘트,198440,2020/12,2014/08/13,,5,  비금속 광물제품 제조업,,,,,,,,,,
(주)고바이오랩,348150,2019/12,2020/11/18,,5,  연구개발업,,,,,,,,,,
(주)고바이오랩,348150,2020/12,2020/11/18,,5,  연구개발업,0.0,0.0,-1199.45,-99.43,-84.13,-16759.33,94.62,1871.28,0.08,0.08
(주)고영테크놀러지,98460,2011/12,2008/06/03,,5,  기타 기계 및 장비 제조업,18.06,-4.46,18.15,25.06,33.3,206.39,80.02,424.78,1.09,1.38
(주)고영테크놀러지,98460,2012/12,2008/06/03,,5,  기타 기계 및 장비 제조업,25.21,-2.55,14.12,19.91,31.57,209.86,80.7,498.93,1.13,1.41
(주)고영테크놀러지,98460,2013/12,2008/06/03,,5,  기타 기계 및 장비 제조업,3.77,-8.36,12.45,15.35,25.81,220.81,81.29,532.19,1.0,1.23
(주)고영테크놀러지,98460,2014/12,2008/06/03,,5,  기타 기계 및 장비 제조업,27.65,58.83,15.48,20.68,32.95,233.98,81.74,530.61,1.09,1.33
(주)고영테크놀러지,98460,2015/12,2008/06/03,,5,  기타 기계 및 장비 제조업,2.15,6.03,16.13,18.99,29.3,236.1,82.76,579.96,0.97,1.18
(주)고영테크놀러지,98460,2016/12,2008/06/03,,5,  기타 기계 및 장비 제조업,17.74,26.71,17.3,20.61,31.86,260.7,80.6,563.7,0.97,1.19
(주)고영테크놀러지,98460,2017/12,2008/06/03,,5,  기타 기계 및 장비 제조업,18.38,-10.2,13.15,16.76,32.01,259.28,78.61,499.8,1.02,1.28
(주)고영테크놀러지,98460,2018/12,2008/06/03,,5,  기타 기계 및 장비 제조업,17.13,58.71,17.76,21.86,30.94,265.42,80.94,562.28,0.98,1.23
(주)고영테크놀러지,98460,2019/12,2008/06/03,,5,  기타 기계 및 장비 제조업,-6.78,-30.13,13.31,12.59,26.43,225.13,79.77,587.8,0.76,0.95
(주)고영테크놀러지,98460,2020/12,2008/06/03,,5,  기타 기계 및 장비 제조업,-19.14,-69.01,5.1,3.74,17.3,152.03,81.32,620.36,0.59,0.73
(주)골드앤에스,35290,2011/12,1999/12/07,,5,  출판업,-5.87,0.0,2.11,4.57,33.36,1514.88,48.07,108.02,1.04,2.16
(주)골드앤에스,35290,2012/12,1999/12/07,,5,  출판업,-7.65,0.0,-14.74,-26.93,14.7,772.83,49.12,128.81,0.89,1.83
(주)골드앤에스,35290,2013/12,1999/12/07,,5,  출판업,-9.89,0.0,-42.57,-86.53,2.67,5.83,25.52,52.99,0.77,2.05
(주)골드앤에스,35290,2014/12,1999/12/07,,5,  출판업,-20.89,0.0,-29.79,-90.29,8.62,17.61,25.97,60.18,0.64,2.48
