,회계년도,총자본순이익률_차이,총자본순이익률_비율,총자본순이익률_상위10개_차이,총자본순이익률_상위10개_변동성,총자본순이익률_산업평균_차이,총자본순이익률_산업평균_변동성,매출액증가율_차이,매출액증가율_비율,매출액증가율_상위10개_차이,매출액증가율_상위10개_변동성,매출액증가율_산업평균_차이,매출액증가율_산업평균_변동성,자기자본순이익률_차이,자기자본순이익률_비율,자기자본순이익률_상위10개_차이,자기자본순이익률_상위10개_변동성,자기자본순이익률_산업평균_차이,자기자본순이익률_산업평균_변동성,매출액순이익률_차이,매출액순이익률_비율,매출액순이익률_상위10개_차이,매출액순이익률_상위10개_변동성,매출액순이익률_산업평균_차이,매출액순이익률_산업평균_변동성,유동비율_차이,유동비율_비율,유동비율_상위10개_차이,유동비율_상위10개_변동성,유동비율_산업평균_차이,유동비율_산업평균_변동성,자기자본구성비율_차이,자기자본구성비율_비율,자기자본구성비율_상위10개_차이,자기자본구성비율_상위10개_변동성,자기자본구성비율_산업평균_차이,자기자본구성비율_산업평균_변동성,총자본회전률_차이,총자본회전률_비율,총자본회전률_상위10개_차이,총자본회전률_상위10개_변동성,총자본회전률_산업평균_차이,총자본회전률_산업평균_변동성,자기자본회전률_차이,자기자본회전률_비율,자기자본회전률_상위10개_차이,자기자본회전률_상위10개_변동성,자기자본회전률_산업평균_차이,자기자본회전률_산업평균_변동성,총자본투자효율_차이,총자본투자효율_비율,총자본투자효율_상위10개_차이,총자본투자효율_상위10개_변동성,총자본투자효율_산업평균_차이,총자본투자효율_산업평균_변동성,설비투자효율_차이,설비투자효율_비율,설비투자효율_상위10개_차이,설비투자효율_상위10개_변동성,설비투자효율_산업평균_차이,설비투자효율_산업평균_변동성,순이익증가율_차이,순이익증가율_비율,순이익증가율_상위10개_차이,순이익증가율_상위10개_변동성,순이익증가율_산업평균_차이,순이익증가율_산업평균_변동성,label
5142,2017-12-01,0.0,0.0,-73.25,73.25,4.48,4.48,0.0,0.0,-815.0,815.0,-19.84,19.84,0.0,0.0,-91.9,91.9,9.93,9.93,0.0,0.0,-552.39,552.39,13.16,13.16,0.0,0.0,-3076.8,3076.8,0.53,5.73,0.0,0.0,-32.53,32.53,4.13,4.13,0.0,0.0,-2.48,2.48,-0.1,0.1,0.0,0.0,-7.64,7.64,-0.51,0.51,0.0,0.0,-104.66,104.66,-0.37,0.37,0.0,0.0,-189819.96,189819.96,-1999.2,1999.2,0.0,0.0,-1477.55,1477.55,-33.28,33.28,0.0
5143,2018-12-01,3.73,0.99,-28.5,28.5,8.18,8.18,0.0,0.0,-462.96,462.96,-10.96,10.96,5.42,0.9,-47.22,47.22,17.04,17.04,5.05,1.0,-111.98,111.98,21.06,21.06,-33.47,-0.11,-6068.24,6068.24,-60.34,60.34,2.93,0.05,-29.82,29.82,7.4,7.4,0.0,0.0,-2.24,2.24,-0.08,0.08,-0.06,-0.05,-9.25,9.25,-0.52,0.52,5.59,0.35,-70.35,70.35,5.2,5.2,26.52,0.32,-54941.5,54941.5,-547.93,547.93,0.0,0.0,-2377.79,2377.79,-40.73,40.73,0.0
5144,2019-12-01,0.46,0.06,-37.14,37.14,9.5,9.5,0.0,0.0,-763.32,763.32,-14.4,14.4,0.79,0.07,-58.43,58.43,20.64,20.64,-0.12,-0.01,-119.12,119.12,32.99,32.99,-19.41,-0.07,-15751.54,15751.54,-158.44,158.44,-3.68,-0.05,-33.95,33.95,4.66,4.66,0.06,0.08,-2.47,2.47,0.01,0.01,0.09,0.08,-9.39,9.39,-0.4,0.4,-0.84,-0.04,-91.34,91.34,5.52,5.52,4.45,0.04,-10692.46,10692.46,104.2,104.2,0.0,0.0,-3848.1,3848.1,-51.1,51.1,0.0
5145,2020-12-01,-45.64,-7.42,-104.92,104.92,-49.01,49.01,0.0,0.0,-16355.02,16355.02,-138.7,138.7,-67.66,-5.54,-153.84,153.84,-48.19,48.19,-9.99,-1.0,-228.31,228.31,70.5,70.5,755.1,5.4,-1590.6,1590.6,1637.68,1878.26,30.22,0.48,-3.27,3.27,33.79,33.79,-0.8,-0.75,-3.26,3.26,-0.74,0.74,-1.22,-0.82,-26.59,26.59,-1.64,1.64,-48.04,-2.3,-121.21,121.21,-41.6,41.6,-3876.63,-14.57,-179951.82,179951.82,5536.11,5536.11,0.0,0.0,-27419.62,27419.62,-254.18,254.18,0.0
5146,2016-12-01,0.0,0.0,-63.74,63.74,-20.35,20.35,0.0,0.0,-445.12,445.12,-26.01,26.01,0.0,0.0,-103.71,103.71,-23.72,23.72,0.0,0.0,-120.82,120.82,-14.71,14.71,0.0,0.0,-3752.62,3752.62,129.16,129.16,0.0,0.0,-16.32,16.32,20.35,20.35,0.0,0.0,-2.01,2.01,-0.06,0.06,0.0,0.0,-7.3,7.3,-0.68,0.68,0.0,0.0,-93.62,93.62,-12.57,12.57,0.0,0.0,-11650.6,11650.6,227.06,227.06,0.0,0.0,-3811.68,3811.68,-58.46,58.46,0.0
5147,2017-12-01,16.61,-0.79,-81.51,81.51,-3.78,3.78,38.53,-2.94,-789.57,789.57,5.59,5.59,21.29,-0.78,-103.84,103.84,-2.01,2.01,22.61,-0.85,-561.46,561.46,4.09,4.09,-153.15,-0.35,-3087.2,3087.2,-9.87,9.87,-8.9,-0.11,-25.41,25.41,11.25,11.25,0.33,0.42,-2.1,2.1,0.28,0.28,0.46,0.45,-7.35,7.35,-0.22,0.22,21.59,5.67,-95.4,95.4,8.89,8.89,496.9,7.99,-189342.92,189342.92,-1522.16,1522.16,0.0,0.0,-1477.55,1477.55,-33.28,33.28,0.0
5148,2018-12-01,8.81,-1.96,-31.68,31.68,5.0,5.0,15.7,0.62,-421.83,421.83,30.17,30.17,12.71,-2.14,-51.87,51.87,12.39,12.39,7.21,-1.8,-118.89,118.89,14.15,14.15,-123.46,-0.43,-6168.63,6168.63,-160.73,160.73,-13.31,-0.19,-38.94,38.94,-1.72,1.72,0.23,0.21,-1.64,1.64,0.53,0.53,0.64,0.43,-8.26,8.26,0.47,0.47,6.36,0.25,-60.32,60.32,15.23,15.23,479.61,0.86,-54011.37,54011.37,382.2,382.2,0.0,0.0,-2377.79,2377.79,-40.73,40.73,0.0
5149,2019-12-01,-1.08,-0.25,-41.86,41.86,4.78,4.78,-54.57,-1.33,-776.76,776.76,-27.84,27.84,-1.03,-0.15,-64.9,64.9,14.17,14.17,0.11,0.03,-125.8,125.8,26.31,26.31,2.64,0.02,-15829.88,15829.88,-236.78,236.78,-2.97,-0.05,-42.36,42.36,-3.75,3.75,-0.37,-0.27,-2.29,2.29,0.19,0.19,-0.38,-0.18,-8.87,8.87,0.12,0.12,-1.25,-0.04,-81.72,81.72,15.14,15.14,-869.28,-0.84,-10636.06,10636.06,160.6,160.6,-10.45,-2001.35,-3858.56,3858.56,-61.55,61.55,0.0
5150,2020-12-01,-4.61,-1.42,-55.2,55.2,0.71,0.71,37.27,-2.77,-16331.19,16331.19,-114.87,114.87,-6.5,-1.13,-99.14,99.14,6.5,6.5,-5.0,-1.51,-230.0,230.0,68.81,68.81,138.81,0.82,-3462.33,3462.33,6.53,6.53,8.2,0.15,-33.7,33.7,3.36,3.36,-0.17,-0.17,-2.45,2.45,0.07,0.07,-0.39,-0.22,-25.47,25.47,-0.29,0.29,-13.05,-0.43,-76.6,76.6,3.01,3.01,-8.75,-0.05,-120921.21,120921.21,64566.72,64566.72,10.45,-1.0,-27419.62,27419.62,-254.18,254.18,0.0
5151,2012-12-01,2.07,1.02,-26.84,26.84,4.06,4.06,-9.26,-1.22,-177.64,177.64,-10.34,10.34,0.17,0.04,-66.74,66.74,148.08,148.08,5.66,2.95,-59.83,59.83,27.86,27.86,681.88,5.4,-1910.79,1910.79,487.59,487.59,42.87,0.92,-5.76,5.76,32.51,32.51,-0.51,-0.49,-2.98,2.98,-0.37,0.37,-1.69,-0.74,-13.47,13.47,-1.38,1.38,-8.65,-0.31,-57.64,57.64,3.17,3.17,20.29,0.36,-25150.93,25150.93,-331.77,331.77,-46.19,6.22,-995.06,995.06,-78.68,78.68,0.0
