,회사명,거래소코드,회계년도,상장일,상장폐지일,소속코드,산업명,유동자산증가율,총자본증가율,자기자본순이익률,총자본순이익률,자본분배율,부가가치율,순운전자본비율,자기자본배율,매입채무회전률,매출채권회전기간,label,유동자산증가율_차이,유동자산증가율_변동률,총자본증가율_차이,총자본증가율_변동률,자기자본순이익률_차이,자기자본순이익률_변동률,총자본순이익률_차이,총자본순이익률_변동률,자본분배율_차이,자본분배율_변동률,부가가치율_차이,부가가치율_변동률,순운전자본비율_차이,순운전자본비율_변동률,자기자본배율_차이,자기자본배율_변동률,매입채무회전률_차이,매입채무회전률_변동률,매출채권회전기간_차이,매출채권회전기간_변동률
2194,제이엠아이(주),33050,2012-12-01,1997-08-18,,5,  인쇄 및 기록매체 복제업,-42.61,-25.38,-36.56,-17.28,-2280.06,0.59,-8.85,223.02,5.58,59.95,0.0,-27.799999999999997,-0.0187711006076975,-15.78,-0.0164375,-33.080000000000005,-0.09505747126436784,-15.31,-0.07771573604060913,-2289.84,-2.341349693251534,-7.630000000000001,-0.009282238442822385,-21.52,-0.016985003946329912,-101.16,-0.0031204886174347585,-0.46999999999999975,-0.000776859504132231,8.130000000000003,0.001568892319567735
2195,제이엠아이(주),33050,2013-12-01,1997-08-18,,5,  인쇄 및 기록매체 복제업,18.39,-7.12,-33.88,-13.3,-64.65,6.88,-7.66,160.88,6.49,51.96,0.0,61.0,0.014315888289134006,18.259999999999998,0.007194641449960598,2.6799999999999997,0.0007330415754923413,3.9800000000000004,0.002303240740740741,2215.41,0.009716454830136048,6.29,0.10661016949152542,1.1899999999999995,0.0013446327683615813,-62.140000000000015,-0.002786297193076855,0.9100000000000001,0.001630824372759857,-7.990000000000002,-0.0013327773144286908
2196,제이엠아이(주),33050,2014-12-01,1997-08-18,,5,  인쇄 및 기록매체 복제업,-15.47,-15.69,-6.4,-2.36,29.58,14.46,-4.05,150.92,4.43,68.12,0.0,-33.86,-0.018412180532898312,-8.57,-0.012036516853932585,27.480000000000004,0.008110979929161747,10.940000000000001,0.008225563909774436,94.23,0.014575406032482597,7.580000000000001,0.011017441860465117,3.6100000000000003,0.004712793733681463,-9.960000000000008,-0.0006190949776230736,-2.0600000000000005,-0.0031741140215716494,16.160000000000004,0.0031100846805234804
2197,제이엠티(주),94970,2012-12-01,2007-10-12,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-7.2,-5.72,6.33,2.62,43.47,13.08,-17.61,423.85,16.67,22.61,0.0,16.12,0.006912521440823328,-2.9999999999999996,-0.011029411764705881,11.690000000000001,0.021809701492537317,4.78,0.02212962962962963,23.84,0.012144676515537443,-0.7300000000000004,-0.0005286024619840698,2.379999999999999,0.001190595297648824,28.0,0.0007073386383731211,9.48,0.013184979137691238,-9.920000000000002,-0.0030494927758991704
2198,제이엠티(주),94970,2013-12-01,2007-10-12,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",50.96,14.5,12.24,5.36,53.76,19.19,-6.34,479.56,13.59,28.8,0.0,58.160000000000004,0.08077777777777778,20.22,0.03534965034965035,5.91,0.00933649289099526,2.74,0.010458015267175573,10.29,0.002367149758454106,6.110000000000001,0.00467125382262997,11.27,0.0063997728563316295,55.70999999999998,0.0013143800872950332,-3.080000000000002,-0.0018476304739052198,6.190000000000001,0.002737726669615215
2199,제이엠티(주),94970,2014-12-01,2007-10-12,,5,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",-8.55,-11.65,11.01,5.35,51.04,19.29,6.12,527.83,12.73,26.6,0.0,-59.510000000000005,-0.011677786499215071,-26.15,-0.018034482758620688,-1.2300000000000004,-0.001004901960784314,-0.010000000000000675,-1.865671641791171e-05,-2.719999999999999,-0.0005059523809523807,0.09999999999999787,5.211047420531415e-05,12.46,0.019652996845425867,48.27000000000004,0.0010065476686963058,-0.8599999999999994,-0.000632818248712288,-2.1999999999999993,-0.0007638888888888886
2200,조광아이엘아이(주),44060,2012-12-01,2001-01-18,,5,  기타 기계 및 장비 제조업,-6.3,5.53,2.53,1.9,21.71,35.77,30.47,742.33,10.44,73.84,0.0,-23.48,-0.013667054714784634,9.77,0.02304245283018868,10.12,0.013333333333333332,7.92,0.013156146179401994,54.86,0.01654901960784314,13.220000000000002,0.005862527716186254,-1.240000000000002,-0.0003910438347524447,-2.3099999999999454,-3.102170176192449e-05,2.139999999999999,0.0025783132530120463,-16.590000000000003,-0.0018345681742784478
2201,조광아이엘아이(주),44060,2013-12-01,2001-01-18,,5,  기타 기계 및 장비 제조업,12.8,3.9,7.05,5.16,37.16,42.06,25.87,778.48,10.89,84.39,0.0,19.1,0.03031746031746032,-1.6300000000000003,-0.002947558770343581,4.52,0.017865612648221344,3.2600000000000002,0.017157894736842108,15.449999999999996,0.007116536158452324,6.289999999999999,0.001758456807380486,-4.599999999999998,-0.0015096816540859856,36.14999999999998,0.0004869801840151951,0.45000000000000107,0.0004310344827586217,10.549999999999997,0.0014287648970747557
2202,조광아이엘아이(주),44060,2014-12-01,2001-01-18,,5,  기타 기계 및 장비 제조업,20.03,23.23,13.86,9.66,50.68,46.63,33.21,864.34,14.14,98.56,0.0,7.23,0.005648437500000001,19.330000000000002,0.04956410256410257,6.81,0.009659574468085106,4.5,0.00872093023255814,13.520000000000003,0.003638320775026912,4.57,0.0010865430337612934,7.34,0.0028372632392732896,85.86000000000001,0.0011029185078614738,3.25,0.0029843893480257116,14.170000000000002,0.0016791088991586682
2203,조아제약(주),34940,2012-12-01,1999-08-13,,5,  의료용 물질 및 의약품 제조업,4.81,2.1,-0.95,-0.55,85.12,89.0,-25.04,12407.88,77.97,33.88,0.0,1.3099999999999996,0.003742857142857142,-1.48,-0.004134078212290503,-1.56,-0.02557377049180328,-0.78,-0.03391304347826087,-10.569999999999993,-0.001104608632040965,-641.93,-0.00878237314106686,31.880000000000003,0.005600843288826423,3128.789999999999,0.0033718715951671975,60.72,0.0352,-109.12,-0.007630769230769231
2204,조아제약(주),34940,2013-12-01,1999-08-13,,5,  의료용 물질 및 의약품 제조업,12.04,11.64,3.52,2.48,22.31,42.97,45.25,361.59,24.83,165.86,0.0,7.2299999999999995,0.015031185031185033,9.540000000000001,0.045428571428571436,4.47,0.04705263157894737,3.0300000000000002,0.055090909090909086,-62.81,-0.007378994360902256,-46.03,-0.0051719101123595505,70.28999999999999,0.028071086261980828,-12046.289999999999,-0.00970858035377518,-53.14,-0.006815441836603822,131.98000000000002,0.03895513577331759
